[Thu Nov 05 13:47:53 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:48:02 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:49:04 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [f7831a250129f6d7]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:49:09 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [f7831a250129f6d7]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:49:57 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:50:05 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:52:24 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [77c9c0799f9249a9]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:52:30 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [77c9c0799f9249a9]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:53:47 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:53:56 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [Error]
[Thu Nov 05 13:54:31 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [TAB29128y48gsnlt]
[Thu Nov 05 13:56:30 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [77c9c0799f9249a9]	 Status: [Success]	 Response : [TAB197F39rBvAhs]
[Thu Nov 05 13:57:13 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [TAB189Ty15WRm32R]
[Thu Nov 05 13:58:23 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [f7831a250129f6d7]	 Status: [Success]	 Response : [TAB118Aa29UUCgkF]
[Thu Nov 05 13:59:06 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [f7831a250129f6d7]	 Status: [Success]	 Response : [TAB118Aa29UUCgkF]
[Thu Nov 05 14:01:14 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [TAB310ok29lyA6EK]
[Thu Nov 05 14:03:40 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [TAB310ok29lyA6EK]
[Thu Nov 05 14:05:38 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [TAB310ok29lyA6EK]
