[Thu Nov 05 00:42:43 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 00:48:42 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 00:52:29 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 00:56:17 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 00:57:45 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 01:01:17 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 01:04:17 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 01:04:47 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 01:05:23 2015]	[client: 58.69.142.44] [file: points.class.php] - Location ID: [LOC3q12217OFJu7X]	 Status: [Success]	 Response : [Valid]
[Thu Nov 05 13:48:02 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Location ID: [LOCtY18732hnPVXQ]	 Status: [Success]	 Response : [Active]
[Thu Nov 05 13:49:09 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Location ID: [LOCNU11250Z5i4kh]	 Status: [Success]	 Response : [Active]
[Thu Nov 05 13:50:05 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Location ID: [LOCC511951ozxNdx]	 Status: [Success]	 Response : [Active]
[Thu Nov 05 13:52:30 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Location ID: [LOCjj12058ukZSen]	 Status: [Success]	 Response : [Active]
[Thu Nov 05 13:53:56 2015]	[client: 58.69.142.44] [file: tablet.class.php] - Location ID: [LOCWZ13027WyQncJ]	 Status: [Success]	 Response : [Active]
