[Thu Nov 05 00:42:10 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:42:43 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:42:52 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:45:57 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [Undeployed]
[Thu Nov 05 00:47:19 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [Undeployed]
[Thu Nov 05 00:47:33 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [Undeployed]
[Thu Nov 05 00:48:21 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:48:42 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:48:54 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:52:29 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:56:17 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:57:45 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:57:53 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 00:58:47 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 01:01:17 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 01:04:17 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 01:04:47 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 01:05:01 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
[Thu Nov 05 01:05:23 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [ebd2bc9bb8f7166e]	 Status: [Success]	 Response : [True]
