[Tue Nov 10 14:27:57 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:30:09 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:38:23 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:41:32 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:42:42 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:43:50 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:44:47 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:45:26 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Tue Nov 10 14:47:20 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [f7831a250129f6d7]	 Status: [Success]	 Response : [True]
[Tue Nov 10 15:08:30 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [77c9c0799f9249a9]	 Status: [Success]	 Response : [True]
[Tue Nov 10 15:08:49 2015]	[client: 58.69.142.44] [file: core.class.php] - Device ID: [77c9c0799f9249a9]	 Status: [Success]	 Response : [True]
[Tue Nov 10 15:09:07 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [77c9c0799f9249a9]	 Status: [Success]	 Response : [True]
[Tue Nov 10 15:19:09 2015]	[client: 58.69.142.44] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Nov 10 17:05:05 2015]	[client: 121.54.44.88] [file: points.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [True]
[Tue Nov 10 17:07:11 2015]	[client: 121.54.44.88] [file: core.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [True]
[Tue Nov 10 17:09:45 2015]	[client: 121.54.44.88] [file: points.class.php] - Device ID: [e2bb8c9d5ca8c3f9]	 Status: [Success]	 Response : [True]
