[Thu Dec 03 17:00:47 2015]	[client: 124.107.17.114] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:02:27 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:02:28 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:02:59 2015]	[client: 124.107.17.114] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:04:11 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:04:34 2015]	[client: 124.107.17.114] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:05:30 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [f7831a250129f6d7]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:05:48 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:07:13 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:08:00 2015]	[client: 124.107.17.114] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:08:36 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:10:55 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:11:14 2015]	[client: 124.107.17.114] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:11:41 2015]	[client: 124.107.17.114] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Thu Dec 03 17:16:09 2015]	[client: 124.107.17.114] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
