[Sat Dec 05 00:00:37 2015]	[client: 121.1.11.115] [file: core.class.php] - [Device ID: 6436A857-9AF2-470C-9BFA-E95BDF9CED6E, Platform: ios, PUSH ID: 102cf9517540a0d3c39d8dbc4812c12f5186c4a1c5739e73b3477f1b7681758a]	 Status: [Success]
[Sat Dec 05 08:13:36 2015]	[client: 112.206.112.5] [file: core.class.php] - [Device ID: d4a69df73e849618, Platform: android, PUSH ID: APA91bGmebLWPylNUpfEld_qP2EEHOjdkyD7ZXUUUct4wZB29XqHPBkztjfdbeWywRPEQRTsrB7kACaZVOUJ1EEPz1t0Sen1xrCqH0CsHRD-kX-wcA_y0m3HVC23hwWiCO0NzPjd_GQj]	 Status: [Existing]
[Sat Dec 05 08:13:36 2015]	[client: 112.206.112.5] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: d4a69df73e849618, Platform: android, PUSH ID: APA91bGmebLWPylNUpfEld_qP2EEHOjdkyD7ZXUUUct4wZB29XqHPBkztjfdbeWywRPEQRTsrB7kACaZVOUJ1EEPz1t0Sen1xrCqH0CsHRD-kX-wcA_y0m3HVC23hwWiCO0NzPjd_GQj]
[Sat Dec 05 13:11:57 2015]	[client: 180.190.91.162] [file: core.class.php] - [Device ID: 3420b60b44ac1434, Platform: android, PUSH ID: APA91bEEiuMe8gKxWiKHzrY_Nu4I2Q3oSkkLR0nLrSk3X6nYz2VUQFF74VHnBGMPLaYsz9oq0Ba5fQMaosRPI22c14yDavGkQy9wmfuYv-zmZNr63nw-WKd4_O9W4dsmjCwZ-U18fes7]	 Status: [Success]
[Sat Dec 05 13:52:20 2015]	[client: 180.191.95.60] [file: core.class.php] - [Device ID: f9c3a7b0b09be696, Platform: android, PUSH ID: APA91bHEzBuBBueMKZMTSo_bwcO7fdNsV-_GuC4m0Ih__oBPmtljPcGqhkKJuuGNJ8prn4k5F8RnDMNn47fzqAOIjQWKHOVAEb2VOcEsPr9eiHlnDiQz-oSd-F1xo8nFElFwMs6aM-9W]	 Status: [Success]
[Sat Dec 05 13:52:20 2015]	[client: 180.191.95.60] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: f9c3a7b0b09be696, Platform: android, PUSH ID: APA91bHEzBuBBueMKZMTSo_bwcO7fdNsV-_GuC4m0Ih__oBPmtljPcGqhkKJuuGNJ8prn4k5F8RnDMNn47fzqAOIjQWKHOVAEb2VOcEsPr9eiHlnDiQz-oSd-F1xo8nFElFwMs6aM-9W]
[Sat Dec 05 15:42:55 2015]	[client: 112.198.79.249] [file: core.class.php] - [Device ID: 49068dae4e463914, Platform: android, PUSH ID: APA91bFuIDzgUz1Hs-DwEAkjRmzSlgJ6xRabe62HxDJY4iT0DRpaSUD3O_2mP-GlpB7vGILT6CSlNfXQ9ezoSmeUvbZRNrYHhFcJyzrLXwvLSN61pzA2nLaVMW65WbOEjp6NzcsyxkaM]	 Status: [Success]
[Sat Dec 05 15:42:56 2015]	[client: 112.198.79.249] [file: core.class.php] - [Device ID: 49068dae4e463914, Platform: android, PUSH ID: APA91bFuIDzgUz1Hs-DwEAkjRmzSlgJ6xRabe62HxDJY4iT0DRpaSUD3O_2mP-GlpB7vGILT6CSlNfXQ9ezoSmeUvbZRNrYHhFcJyzrLXwvLSN61pzA2nLaVMW65WbOEjp6NzcsyxkaM]	 Status: [Existing]
[Sat Dec 05 16:08:33 2015]	[client: 112.208.79.230] [file: core.class.php] - [Device ID: 5efd49ea117708f9, Platform: android, PUSH ID: APA91bESCz9qKvX7LF9-nMrY6bq_pGHtez2ynxZZDkw9CUZ2sEFJBTps5wfFna5LFucageExU32dyZE7tAMIky64gQdwZgD-sb7qIunZMUctA_KDyItQ3mOMaAau23J_IpHCBLrleQgU]	 Status: [Success]
[Sat Dec 05 16:08:36 2015]	[client: 112.208.79.230] [file: core.class.php] - [Device ID: 5efd49ea117708f9, Platform: android, PUSH ID: APA91bESCz9qKvX7LF9-nMrY6bq_pGHtez2ynxZZDkw9CUZ2sEFJBTps5wfFna5LFucageExU32dyZE7tAMIky64gQdwZgD-sb7qIunZMUctA_KDyItQ3mOMaAau23J_IpHCBLrleQgU]	 Status: [Existing]
[Sat Dec 05 16:11:51 2015]	[client: 112.208.79.230] [file: core.class.php] - [Device ID: 851632b0d0fc56fd, Platform: android, PUSH ID: APA91bGjcL6TTHQ2eL5wufa5Mq6GqAun9N4D2nEbti-w8vhu6-YxNE5owuy2IYf9joq5eb1KqglI5dN3FLCfFH9cAA1OxNiNu_kgMut1TPNIj4IkaLKZnUjP0CqMyq_qC618Skq7_dEe]	 Status: [Success]
