[Tue Dec 08 01:47:12 2015]	[client: 49.144.253.169] [file: core.class.php] - [Device ID: 7dc88bc608e50de7, Platform: android, PUSH ID: APA91bFxjNu3tXQOC9JBGs_QfUB9FOZ2uBkgRtuIycdO9RSAaYsbD9cAbf_9hz-hF-rY2bbqqlANb1eGvl7KhUKTi2JCaWq-mybiwZdiz0pV_RKSQWljkGu8Uw1_xSu9M3eKuzwxFBI_]	 Status: [Success]
[Tue Dec 08 01:47:13 2015]	[client: 49.144.253.169] [file: core.class.php] - [Device ID: 7dc88bc608e50de7, Platform: android, PUSH ID: APA91bFxjNu3tXQOC9JBGs_QfUB9FOZ2uBkgRtuIycdO9RSAaYsbD9cAbf_9hz-hF-rY2bbqqlANb1eGvl7KhUKTi2JCaWq-mybiwZdiz0pV_RKSQWljkGu8Uw1_xSu9M3eKuzwxFBI_]	 Status: [Existing]
[Tue Dec 08 14:54:02 2015]	[client: 180.191.21.10] [file: core.class.php] - [Device ID: 35CC2487-3B67-4529-9060-E5AE0D4B62F0, Platform: ios, PUSH ID: b98497257368f8c6925658cf9affb6af57bb3af5a2510b8ba9d67afdcbdb25b0]	 Status: [Success]
[Tue Dec 08 15:35:29 2015]	[client: 112.198.98.243] [file: core.class.php] - [Device ID: B85C6352-94C0-4C27-BD90-E36831599761, Platform: ios, PUSH ID: ae2cd889300507950134570ae3cee9736861f52c4981c13a29bacfd0600832f5]	 Status: [Success]
[Tue Dec 08 16:19:24 2015]	[client: 112.198.83.38] [file: core.class.php] - [Device ID: d4a69df73e849618, Platform: android, PUSH ID: APA91bGmebLWPylNUpfEld_qP2EEHOjdkyD7ZXUUUct4wZB29XqHPBkztjfdbeWywRPEQRTsrB7kACaZVOUJ1EEPz1t0Sen1xrCqH0CsHRD-kX-wcA_y0m3HVC23hwWiCO0NzPjd_GQj]	 Status: [Existing]
[Tue Dec 08 16:19:25 2015]	[client: 112.198.83.38] [file: core.class.php] - [Device ID: d4a69df73e849618, Platform: android, PUSH ID: APA91bGmebLWPylNUpfEld_qP2EEHOjdkyD7ZXUUUct4wZB29XqHPBkztjfdbeWywRPEQRTsrB7kACaZVOUJ1EEPz1t0Sen1xrCqH0CsHRD-kX-wcA_y0m3HVC23hwWiCO0NzPjd_GQj]	 Status: [Existing]
[Tue Dec 08 16:39:18 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Success]
[Tue Dec 08 16:39:18 2015]	[client: 112.208.28.61] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]
[Tue Dec 08 16:45:48 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Tue Dec 08 16:45:49 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Tue Dec 08 18:26:39 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
