[Wed Dec 09 13:57:32 2015]	[client: 112.198.79.11] [file: core.class.php] - [Device ID: 98207be4d117a5d2, Platform: android, PUSH ID: APA91bH5bvS_MLa03svo44YuEsjTrJNVoVEBc5a8qVXW-STrUhmGvHdapMnbLjDhWr34hth4ARBWKqfGQZ2WU8CPUG24uKzDNr5EZ64Wjc1FZ1di_jEZNZvYaFoE95CBjC8oPHpGi72a]	 Status: [Success]
[Wed Dec 09 13:57:34 2015]	[client: 112.198.79.11] [file: core.class.php] - [Device ID: 98207be4d117a5d2, Platform: android, PUSH ID: APA91bH5bvS_MLa03svo44YuEsjTrJNVoVEBc5a8qVXW-STrUhmGvHdapMnbLjDhWr34hth4ARBWKqfGQZ2WU8CPUG24uKzDNr5EZ64Wjc1FZ1di_jEZNZvYaFoE95CBjC8oPHpGi72a]	 Status: [Existing]
[Wed Dec 09 17:22:04 2015]	[client: 180.190.103.190] [file: core.class.php] - [Device ID: ddeca3ab59426c86, Platform: android, PUSH ID: APA91bGQA_tnn7e910d4OcFt7btd5VfGEO1SAvrfR9RkGElBYFVOOliZVDcIUCa57f6EQVMoAtsYnoLdt_P5a4NyS4lJoSBWLWoRtTgNr279CsqdWHuDHSXRJU3aMHSV3-vn9o9mI8fb]	 Status: [Existing]
[Wed Dec 09 17:22:04 2015]	[client: 180.190.103.190] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: ddeca3ab59426c86, Platform: android, PUSH ID: APA91bGQA_tnn7e910d4OcFt7btd5VfGEO1SAvrfR9RkGElBYFVOOliZVDcIUCa57f6EQVMoAtsYnoLdt_P5a4NyS4lJoSBWLWoRtTgNr279CsqdWHuDHSXRJU3aMHSV3-vn9o9mI8fb]
[Wed Dec 09 19:26:45 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Success]
[Wed Dec 09 19:26:49 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Wed Dec 09 19:30:49 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Wed Dec 09 19:30:49 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Wed Dec 09 19:39:21 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Wed Dec 09 19:39:21 2015]	[client: 112.208.28.61] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Wed Dec 09 19:56:05 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
