[Thu Dec 10 01:17:33 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b1988938d937080, Platform: android, PUSH ID: APA91bFkojx8ABb3qE1FRK7Pqv57JFLAe09rqGZeSux4_SZFejbWIHL9USwnsxxcYndS4XU1dfSGxJe6XNE32baijxsv99Ws5IDI8XqElFSvAvKS4XOq4LfYiS86krk3ycNMNFjpL4Gj]	 Status: [Success]
[Thu Dec 10 01:17:33 2015]	[client: 112.208.28.61] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b1988938d937080, Platform: android, PUSH ID: APA91bFkojx8ABb3qE1FRK7Pqv57JFLAe09rqGZeSux4_SZFejbWIHL9USwnsxxcYndS4XU1dfSGxJe6XNE32baijxsv99Ws5IDI8XqElFSvAvKS4XOq4LfYiS86krk3ycNMNFjpL4Gj]
[Thu Dec 10 09:23:55 2015]	[client: 49.144.248.208] [file: core.class.php] - [Device ID: 770eb52fc7b86460, Platform: android, PUSH ID: APA91bHkqMG0bpAOH3HWjUMGGfCeQLKM_8cF4J5ODRBG_HPck-Xe_Z_vGcZwdmAYgJf0HLnpxgEwOsDrvZBC0ACH_2cS63jW-SoCRH5uG855BQk21sHlUiM5SHK354mFGdEun2MzEDHl]	 Status: [Existing]
[Thu Dec 10 09:23:55 2015]	[client: 49.144.248.208] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 770eb52fc7b86460, Platform: android, PUSH ID: APA91bHkqMG0bpAOH3HWjUMGGfCeQLKM_8cF4J5ODRBG_HPck-Xe_Z_vGcZwdmAYgJf0HLnpxgEwOsDrvZBC0ACH_2cS63jW-SoCRH5uG855BQk21sHlUiM5SHK354mFGdEun2MzEDHl]
[Thu Dec 10 09:25:38 2015]	[client: 112.206.101.51] [file: core.class.php] - [Device ID: 2fe627fd85c8ecb3, Platform: android, PUSH ID: APA91bEV6g6pe5YuwsGn06fAu5nTqq5nIXg7Fs83vaFAhmX16pz7_XFOMfEHqxoeHFjOqcxaRodURPPz2OQHBUo3GOWiuOjZrOt_L25MSLLd73BSvl6OZu8TuFR5TFcuWn9phNpT5qHm]	 Status: [Existing]
[Thu Dec 10 09:25:39 2015]	[client: 112.206.101.51] [file: core.class.php] - [Device ID: 2fe627fd85c8ecb3, Platform: android, PUSH ID: APA91bEV6g6pe5YuwsGn06fAu5nTqq5nIXg7Fs83vaFAhmX16pz7_XFOMfEHqxoeHFjOqcxaRodURPPz2OQHBUo3GOWiuOjZrOt_L25MSLLd73BSvl6OZu8TuFR5TFcuWn9phNpT5qHm]	 Status: [Existing]
[Thu Dec 10 10:59:54 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Thu Dec 10 10:59:54 2015]	[client: 112.208.28.61] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Thu Dec 10 14:53:17 2015]	[client: 112.198.77.126] [file: core.class.php] - [Device ID: 98207be4d117a5d2, Platform: android, PUSH ID: APA91bH5bvS_MLa03svo44YuEsjTrJNVoVEBc5a8qVXW-STrUhmGvHdapMnbLjDhWr34hth4ARBWKqfGQZ2WU8CPUG24uKzDNr5EZ64Wjc1FZ1di_jEZNZvYaFoE95CBjC8oPHpGi72a]	 Status: [Existing]
[Thu Dec 10 14:53:17 2015]	[client: 112.198.77.126] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 98207be4d117a5d2, Platform: android, PUSH ID: APA91bH5bvS_MLa03svo44YuEsjTrJNVoVEBc5a8qVXW-STrUhmGvHdapMnbLjDhWr34hth4ARBWKqfGQZ2WU8CPUG24uKzDNr5EZ64Wjc1FZ1di_jEZNZvYaFoE95CBjC8oPHpGi72a]
[Thu Dec 10 15:30:53 2015]	[client: 180.191.138.195] [file: core.class.php] - [Device ID: 40b7a91bf50a3893, Platform: android, PUSH ID: APA91bHI6nGgeva8mTILrt0ErSDAgrO68cb9nL_sPQtD4usMZwp2Ax6LQ_QBy7V_2b4VdXf8aiB0_UGv0KeyDbimigZkfVpHZ8NJ7owztCcykbf875g3SJsMPc8OO7zp_jEPOCfdduzy]	 Status: [Success]
