[Fri Dec 11 06:09:17 2015]	[client: 180.191.103.229] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Fri Dec 11 06:09:18 2015]	[client: 180.191.103.229] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Fri Dec 11 11:13:14 2015]	[client: 112.209.34.53] [file: core.class.php] - [Device ID: 6afb4de65d10acd6, Platform: android, PUSH ID: APA91bF1_gYK0PlZ2IJxyiucOYJdvLpW3cJ79sqZ1wikP29_qP_pUZIMso1Xccmk44vSe_2pfh0UW-Tyy01n5-2YM0zeT8t7fUIzdbmtpSX4RhYurXkqtGAQ6887cHhJYUfiOnt3zbFp]	 Status: [Existing]
[Fri Dec 11 11:13:14 2015]	[client: 112.209.34.53] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 6afb4de65d10acd6, Platform: android, PUSH ID: APA91bF1_gYK0PlZ2IJxyiucOYJdvLpW3cJ79sqZ1wikP29_qP_pUZIMso1Xccmk44vSe_2pfh0UW-Tyy01n5-2YM0zeT8t7fUIzdbmtpSX4RhYurXkqtGAQ6887cHhJYUfiOnt3zbFp]
[Fri Dec 11 11:39:39 2015]	[client: 112.198.79.142] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Fri Dec 11 11:39:40 2015]	[client: 112.198.79.142] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Fri Dec 11 12:56:59 2015]	[client: 121.54.44.89] [file: core.class.php] - [Device ID: 6EDB9C37-D0C0-4EDA-ACFA-864F8D9DC65C, Platform: ios, PUSH ID: 0bf9d40814d3f4cfd56559c9eb45b72c5fdfc25250e10df52dcdc1969644d866]	 Status: [Success]
[Fri Dec 11 16:54:09 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Fri Dec 11 16:54:10 2015]	[client: 112.208.28.61] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]
[Fri Dec 11 17:00:32 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Fri Dec 11 17:00:33 2015]	[client: 112.208.28.61] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
