[Thu Jan 14 07:37:12 2016]	[client: 114.108.214.17] [file: core.class.php] - [Device ID: 3d7b5b2ad2a93aef, Platform: android, PUSH ID: APA91bFmKGZ80n5yvlnHi9OiE6W0FCzYw92-x2yr3SjHS1PnJiVAIZ-4r56PqThO4Dq9dU9PUnTzpKkbb1DzqYzXcNfi5P4wYpeowQ2ht8V3MeLd7QpeGHoZJcMYGo-Y-fyCtasjKl_q]	 Status: [Existing]
[Thu Jan 14 07:37:13 2016]	[client: 114.108.214.17] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 3d7b5b2ad2a93aef, Platform: android, PUSH ID: APA91bFmKGZ80n5yvlnHi9OiE6W0FCzYw92-x2yr3SjHS1PnJiVAIZ-4r56PqThO4Dq9dU9PUnTzpKkbb1DzqYzXcNfi5P4wYpeowQ2ht8V3MeLd7QpeGHoZJcMYGo-Y-fyCtasjKl_q]
[Thu Jan 14 12:07:31 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 31947325222763f9, Platform: android, PUSH ID: APA91bFm6xwl8KBbB4ETS3vZO9I21Ivy5spJjTRBTvuoDUXska9Djef19PTcJ_pXZGWuea8t8pHO49NSh5V61wKoULjWbOA8EzTYdvETKEoJHoIFGwFGgVqJ0WkzfDQbYq_u6yJW80Vf]	 Status: [Existing]
[Thu Jan 14 12:07:32 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 31947325222763f9, Platform: android, PUSH ID: APA91bFm6xwl8KBbB4ETS3vZO9I21Ivy5spJjTRBTvuoDUXska9Djef19PTcJ_pXZGWuea8t8pHO49NSh5V61wKoULjWbOA8EzTYdvETKEoJHoIFGwFGgVqJ0WkzfDQbYq_u6yJW80Vf]	 Status: [Existing]
[Thu Jan 14 12:35:09 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: ee170da1c17fdf48, Platform: android, PUSH ID: APA91bG2CzKT9jSjVf63fsK_XYMP1OWlRVI-dGOaaSTQxPnubQmCWaNTDBvDpNaODBQwQZWvAsBEcyI-l2sY9qBIzhbnP-WozpdHWOaOVY0KJDYOQ-equ7tz1QPm9VLPPM3dyXNLdaTr]	 Status: [Success]
[Thu Jan 14 12:35:09 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: ee170da1c17fdf48, Platform: android, PUSH ID: APA91bG2CzKT9jSjVf63fsK_XYMP1OWlRVI-dGOaaSTQxPnubQmCWaNTDBvDpNaODBQwQZWvAsBEcyI-l2sY9qBIzhbnP-WozpdHWOaOVY0KJDYOQ-equ7tz1QPm9VLPPM3dyXNLdaTr]
[Thu Jan 14 14:40:40 2016]	[client: 45.79.110.250] [file: core.class.php] - [Device ID: 35c7162912ec6390, Platform: android, PUSH ID: APA91bETFUB5J84tseK6OJUxMnrZb0bwchldGC8J-wGDvkB9f0A1fxJxZzfpHqhen0tscH4ug2gBw1o82XdlaChTtIhxUBi98mKZw2FUhKbi6mKWcVPuoIbOw-ecaJS8xPjsu7bTe8y9]	 Status: [Success]
[Thu Jan 14 14:40:41 2016]	[client: 45.79.110.250] [file: core.class.php] - [Device ID: 35c7162912ec6390, Platform: android, PUSH ID: APA91bETFUB5J84tseK6OJUxMnrZb0bwchldGC8J-wGDvkB9f0A1fxJxZzfpHqhen0tscH4ug2gBw1o82XdlaChTtIhxUBi98mKZw2FUhKbi6mKWcVPuoIbOw-ecaJS8xPjsu7bTe8y9]	 Status: [Existing]
[Thu Jan 14 14:44:32 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Success]
[Thu Jan 14 14:44:32 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]
[Thu Jan 14 14:46:39 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e805fb7cab7ea1b5, Platform: android, PUSH ID: APA91bGjAFcXiolrbY_3JBZ3BqvB2lwDmJuHkHBrsDNPnaKsDzznSSLWSs6e_UPy-Jx_P_FPkm3Oj_jezReTqR4Ui1RCbO5sCG_8vYHJMLJ7byr-ZQsS2-Nygy2ANjF4Uq_3us-jDNOF]	 Status: [Success]
[Thu Jan 14 14:46:40 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e805fb7cab7ea1b5, Platform: android, PUSH ID: APA91bGjAFcXiolrbY_3JBZ3BqvB2lwDmJuHkHBrsDNPnaKsDzznSSLWSs6e_UPy-Jx_P_FPkm3Oj_jezReTqR4Ui1RCbO5sCG_8vYHJMLJ7byr-ZQsS2-Nygy2ANjF4Uq_3us-jDNOF]	 Status: [Existing]
[Thu Jan 14 14:49:38 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: B64A7F2A-6206-4885-9A84-752DA78ED644, Platform: ios, PUSH ID: d32bca81c49073cfdd366a0f7fc44757182222f5cd2f0d64834ad1d16efcc1ed]	 Status: [Success]
[Thu Jan 14 14:52:15 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: E4923779-4013-4B6D-93B1-124426B16448, Platform: ios, PUSH ID: 20fd65716832128214f0ad8cc43ae81caf5659fa7c82ce9c02e32d16ebc40ace]	 Status: [Success]
[Thu Jan 14 14:52:17 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 4DA4C17F-0AAF-4D7C-90FA-928E49060F29, Platform: ios, PUSH ID: bc2069c145ba9102c7cc43c78dd17603d91b9c9dee3f6db71971afcc1aeee8af]	 Status: [Success]
[Thu Jan 14 14:56:14 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 14:56:15 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 15:00:01 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 15:00:54 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2d96ffbe520500b6, Platform: android, PUSH ID: APA91bEK-I6KmmzkVsJz3iw6eRMcj5B_I_bWUAche8zriJ_NwcDGU9n0Pq06AbEErG_CKlF5FCyS_84FRi4ljZcBHIudYFsazhhXEYyjm3XiD4__cIRj0KPwmmb4Ak8n9YchzkGf4kzf]	 Status: [Existing]
[Thu Jan 14 17:56:28 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: AD8630DF-D688-4981-B728-B810FFDFC658, Platform: ios, PUSH ID: a1c381139d2ec8977be50e6ec4529af665b95da8de9200d4570ef1e037eb78aa]	 Status: [Success]
[Thu Jan 14 18:12:17 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 94789a320e7484e, Platform: android, PUSH ID: APA91bEB5Hzv58ThTVHZR1i4mVffzWdMIc3rTCzZgcK0bhhlnUCcPMKjCUPZTYjIKRE5-pNQ5X2yBCfIqypz9tN-LkSCED3D1Ks4k6InW7htkaP-a0E0uPtqQCgfKMi83k62CLYK08l0]	 Status: [Success]
[Thu Jan 14 18:12:18 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 94789a320e7484e, Platform: android, PUSH ID: APA91bEB5Hzv58ThTVHZR1i4mVffzWdMIc3rTCzZgcK0bhhlnUCcPMKjCUPZTYjIKRE5-pNQ5X2yBCfIqypz9tN-LkSCED3D1Ks4k6InW7htkaP-a0E0uPtqQCgfKMi83k62CLYK08l0]	 Status: [Existing]
[Thu Jan 14 18:45:41 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 48b224b9bb7f1dc9, Platform: android, PUSH ID: APA91bGm9s1gVA33Lwi7Cpc5k57CW2z1F3Ye_VH2_hQpeVPgx_No83X6hY-4mkcyDWoynVAZ_l0gcaVRy7M20IG14Bcj-U-LtgwZL18KzD2u5ZCTyWx8IGdKQIbrSieqjMjJi48dPbtE]	 Status: [Success]
