[Fri Jan 15 16:08:57 2016]	[client: 121.54.54.153] [file: core.class.php] - [Device ID: dc01eb78c2870b12, Platform: android, PUSH ID: APA91bGVfm-rKLXDBub6FdlvfXURsVzV0rSn8Ze6Vw7SPb1B_pcNuxpXccHmhl3Yv1F3rlDLBU6gLlJFAP4V8LwwEeMsSb1XaUUFOtMgJgO82xnLdJN4RqSTDObaPhp0_fMPQ4CzY3nN]	 Status: [Existing]
[Fri Jan 15 16:08:57 2016]	[client: 121.54.54.153] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: dc01eb78c2870b12, Platform: android, PUSH ID: APA91bGVfm-rKLXDBub6FdlvfXURsVzV0rSn8Ze6Vw7SPb1B_pcNuxpXccHmhl3Yv1F3rlDLBU6gLlJFAP4V8LwwEeMsSb1XaUUFOtMgJgO82xnLdJN4RqSTDObaPhp0_fMPQ4CzY3nN]
[Fri Jan 15 18:03:01 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: E2FD23A0-2A9C-49F4-BF5B-E8C08411F2AE, Platform: ios, PUSH ID: d05a35d72eee253cd0c05713cbb34cb42e826f4e192119f6bcb4424d06b90f4f]	 Status: [Success]
[Fri Jan 15 18:06:07 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e5cde7a03d6ad2f1, Platform: android, PUSH ID: APA91bFuLZG0QwlYI5tao4AODdMTPKAgEJhmbWckFn8gmPRBfRYqzEElnsmomuLuFDpT5c6aAsaNVaSD2kyjFBmto7a7X9zL3OXSS_iVI2SCZMyxIrRrM64pitajZaYI8nYpCAI_ByUP]	 Status: [Success]
[Fri Jan 15 18:06:08 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: e5cde7a03d6ad2f1, Platform: android, PUSH ID: APA91bFuLZG0QwlYI5tao4AODdMTPKAgEJhmbWckFn8gmPRBfRYqzEElnsmomuLuFDpT5c6aAsaNVaSD2kyjFBmto7a7X9zL3OXSS_iVI2SCZMyxIrRrM64pitajZaYI8nYpCAI_ByUP]
[Fri Jan 15 18:06:40 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e5cde7a03d6ad2f1, Platform: android, PUSH ID: APA91bFuLZG0QwlYI5tao4AODdMTPKAgEJhmbWckFn8gmPRBfRYqzEElnsmomuLuFDpT5c6aAsaNVaSD2kyjFBmto7a7X9zL3OXSS_iVI2SCZMyxIrRrM64pitajZaYI8nYpCAI_ByUP]	 Status: [Existing]
[Fri Jan 15 18:06:40 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: e5cde7a03d6ad2f1, Platform: android, PUSH ID: APA91bFuLZG0QwlYI5tao4AODdMTPKAgEJhmbWckFn8gmPRBfRYqzEElnsmomuLuFDpT5c6aAsaNVaSD2kyjFBmto7a7X9zL3OXSS_iVI2SCZMyxIrRrM64pitajZaYI8nYpCAI_ByUP]
[Fri Jan 15 18:07:57 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 99E3FB1E-0956-4BD5-8FFD-8CB6A70AD344, Platform: ios, PUSH ID: e8a09e8d9e2d3d7e14e2ae3df0cbf5431ae4df4335cdd55e067cc3b8a2e6c417]	 Status: [Success]
[Fri Jan 15 18:42:39 2016]	[client: 121.54.54.248] [file: core.class.php] - [Device ID: b804c2aba0418989, Platform: android, PUSH ID: APA91bGTVsczUJenmQXlfk-0te_Fdq58Zw2W1DiwUCYTvoO5NJ1pr2nodS06bFmmLygT0Oc4Fnr1RtrgmNK2KnkN6yJKfTnKKsVGpkMHK_PH714Q-s8ldlLliQBVsSyQ__BwL2MoXw7l]	 Status: [Success]
[Fri Jan 15 18:42:40 2016]	[client: 121.54.54.248] [file: core.class.php] - [Device ID: b804c2aba0418989, Platform: android, PUSH ID: APA91bGTVsczUJenmQXlfk-0te_Fdq58Zw2W1DiwUCYTvoO5NJ1pr2nodS06bFmmLygT0Oc4Fnr1RtrgmNK2KnkN6yJKfTnKKsVGpkMHK_PH714Q-s8ldlLliQBVsSyQ__BwL2MoXw7l]	 Status: [Existing]
[Fri Jan 15 18:42:50 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: e5cde7a03d6ad2f1, Platform: android, PUSH ID: APA91bFuLZG0QwlYI5tao4AODdMTPKAgEJhmbWckFn8gmPRBfRYqzEElnsmomuLuFDpT5c6aAsaNVaSD2kyjFBmto7a7X9zL3OXSS_iVI2SCZMyxIrRrM64pitajZaYI8nYpCAI_ByUP]	 Status: [Existing]
