[Sun Jan 17 13:33:40 2016]	[client: 121.54.44.144] [file: core.class.php] - [Device ID: 35E959D9-A3F7-4144-800C-D6CB160F791B, Platform: ios, PUSH ID: 895da9678886ba28a2663515508f359ff3d3d2a65890b6183d60d5136a2966f2]	 Status: [Success]
[Sun Jan 17 16:30:57 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Sun Jan 17 16:30:58 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Sun Jan 17 18:34:23 2016]	[client: 121.54.44.187] [file: core.class.php] - [Device ID: 3ffdd8ee5716e461, Platform: android, PUSH ID: APA91bHemubh289Ycjc1OAEWMi3_Y-cvwpGPFP3b5RP8Y5z0_wuIU016X0G6Hsva03hRGkSzfpmYUe4TDTVajN0uledzw0vZpuEJizJ1sAdbsTuNo_V4TOFLGtVUQQAHAtFJSy8kcidH]	 Status: [Success]
[Sun Jan 17 18:34:24 2016]	[client: 121.54.44.187] [file: core.class.php] - [Device ID: 3ffdd8ee5716e461, Platform: android, PUSH ID: APA91bHemubh289Ycjc1OAEWMi3_Y-cvwpGPFP3b5RP8Y5z0_wuIU016X0G6Hsva03hRGkSzfpmYUe4TDTVajN0uledzw0vZpuEJizJ1sAdbsTuNo_V4TOFLGtVUQQAHAtFJSy8kcidH]	 Status: [Existing]
[Sun Jan 17 18:37:27 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]	 Status: [Success]
[Sun Jan 17 18:37:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]	 Status: [Existing]
[Sun Jan 17 18:40:00 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]	 Status: [Existing]
[Sun Jan 17 18:40:01 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]	 Status: [Existing]
[Sun Jan 17 18:41:32 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 8b7f1fd537c9d663, Platform: android, PUSH ID: APA91bEv4Se9cXp_UtgolASuemi3WRPHZBiJpnFJyuQY8bbg0ZJCc2WHAXk8t5NzyU-2KWwritclH03ka82D4QurBryG9rXBRozyKufom2C4aIvRYKjgKFhiq9V6NlDPNxdRArD4dgLQ]	 Status: [Success]
[Sun Jan 17 18:41:33 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 8b7f1fd537c9d663, Platform: android, PUSH ID: APA91bEv4Se9cXp_UtgolASuemi3WRPHZBiJpnFJyuQY8bbg0ZJCc2WHAXk8t5NzyU-2KWwritclH03ka82D4QurBryG9rXBRozyKufom2C4aIvRYKjgKFhiq9V6NlDPNxdRArD4dgLQ]	 Status: [Existing]
[Sun Jan 17 18:47:43 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]	 Status: [Existing]
[Sun Jan 17 18:47:44 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2821e3f7fa054d1a, Platform: android, PUSH ID: APA91bGca4DnuxqGpHPk10R8kuo38IgiSzP6GC_BLQMgKPT72_YBmV0sQoCNbORSSx6-n3TlWO_7b3_mW8H3k1gkgD9CbuhJmKbq2wjcOja5YCfoHPlTh37HSgKaNe7VkXfXLt0WrSk5]
