[Sun Jan 17 19:19:34 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 19:21:26 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 20:05:39 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 20:06:29 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 20:08:39 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 20:09:09 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 20:09:35 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 20:09:59 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 21:07:47 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 21:26:06 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 23:00:50 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 23:01:04 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 17 23:01:54 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
