[Mon Jan 18 00:49:04 2016]	[client: 114.108.214.8] [file: core.class.php] - [Device ID: df5895ff770bf0a9, Platform: android, PUSH ID: APA91bEdG_T6TwmxuFPKAc_xX5FrHm9yiXbZkE6WZufuKO6UG2uXY4RItmicalQl1yFvnyg1m779HBpapDE6EORgJVZ2CUer56s0eTd3BA4g5E_hUvJ8fpFxPCe9erhK-MfUQykmSCqi]	 Status: [Existing]
[Mon Jan 18 00:49:04 2016]	[client: 114.108.214.8] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: df5895ff770bf0a9, Platform: android, PUSH ID: APA91bEdG_T6TwmxuFPKAc_xX5FrHm9yiXbZkE6WZufuKO6UG2uXY4RItmicalQl1yFvnyg1m779HBpapDE6EORgJVZ2CUer56s0eTd3BA4g5E_hUvJ8fpFxPCe9erhK-MfUQykmSCqi]
[Mon Jan 18 01:20:29 2016]	[client: 112.198.242.133] [file: core.class.php] - [Device ID: 55d1765f29b5ec9e, Platform: android, PUSH ID: APA91bHRAIM12WqnOYbHAdMUazPhGZn0mxmh54WJN5qVDl1L2jVBJLUs8378wXqYWeWmGkOfgHfhPeoSqdEpqpGlhyG6TvcFIzI5XxOq6nVERa2tIdfKG_dRKGFpRwxntG-S05r-_3Wr]	 Status: [Existing]
[Mon Jan 18 01:20:30 2016]	[client: 112.198.242.133] [file: core.class.php] - [Device ID: 55d1765f29b5ec9e, Platform: android, PUSH ID: APA91bHRAIM12WqnOYbHAdMUazPhGZn0mxmh54WJN5qVDl1L2jVBJLUs8378wXqYWeWmGkOfgHfhPeoSqdEpqpGlhyG6TvcFIzI5XxOq6nVERa2tIdfKG_dRKGFpRwxntG-S05r-_3Wr]	 Status: [Existing]
[Mon Jan 18 07:18:53 2016]	[client: 121.54.32.162] [file: core.class.php] - [Device ID: 254a4eb63c7e0cf6, Platform: android, PUSH ID: APA91bFKcA3NhL42xvQItRqe4qO8IhsOJRiWRO53T0vJVeKowtp_5hLpO_pGiUdcdh4BWjt9p-Z0k2ODlo8B6p9-gws9lo9pFdDZKK86etMqmAi2QLfPpS5zGrX8a8QKCcx5TT3BIbRw]	 Status: [Existing]
[Mon Jan 18 07:18:53 2016]	[client: 121.54.32.162] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 254a4eb63c7e0cf6, Platform: android, PUSH ID: APA91bFKcA3NhL42xvQItRqe4qO8IhsOJRiWRO53T0vJVeKowtp_5hLpO_pGiUdcdh4BWjt9p-Z0k2ODlo8B6p9-gws9lo9pFdDZKK86etMqmAi2QLfPpS5zGrX8a8QKCcx5TT3BIbRw]
[Mon Jan 18 07:53:19 2016]	[client: 112.198.79.233] [file: core.class.php] - [Device ID: b0909533613dc359, Platform: android, PUSH ID: APA91bFEKkEkbo-5mmO5MhZ8quxCwGULvVCYd5DgHV0E0ewy0oswP5WGEAw3lZLqmGxcramIYscpICB67M7wzQLZpkUOh9UN-2nQJgZWkHjhzN6xDjxFzPgUQFeVSr0Yl_yjrMy4z_1b]	 Status: [Existing]
[Mon Jan 18 07:53:19 2016]	[client: 112.198.79.233] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b0909533613dc359, Platform: android, PUSH ID: APA91bFEKkEkbo-5mmO5MhZ8quxCwGULvVCYd5DgHV0E0ewy0oswP5WGEAw3lZLqmGxcramIYscpICB67M7wzQLZpkUOh9UN-2nQJgZWkHjhzN6xDjxFzPgUQFeVSr0Yl_yjrMy4z_1b]
[Mon Jan 18 12:04:08 2016]	[client: 180.191.155.105] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Mon Jan 18 12:04:08 2016]	[client: 180.191.155.105] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]
[Mon Jan 18 17:35:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 79D55DB9-6F96-4C88-BAF3-CDB27F317538, Platform: ios, PUSH ID: 08b6de15be7874f3780c74918169b89739def469cd512f8ef9454cbcb77f4821]	 Status: [Success]
