[Tue Jan 19 05:16:55 2016]	[client: 112.203.14.177] [file: core.class.php] - [Device ID: 41363d5bee9417e3, Platform: android, PUSH ID: APA91bG43izTxB4rO3ACDhe2Z91qsYeHqD_71ACFeMXVrZBJFoRk90sNs4NA80OySf1D4-Ql_a57jFXt5qxjxzJ3YJxLkLOZ_3A75yAAJyI1qGo-sJXCALEkYWCltwIzS6EA3cO7utVj]	 Status: [Success]
[Tue Jan 19 05:16:55 2016]	[client: 112.203.14.177] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 41363d5bee9417e3, Platform: android, PUSH ID: APA91bG43izTxB4rO3ACDhe2Z91qsYeHqD_71ACFeMXVrZBJFoRk90sNs4NA80OySf1D4-Ql_a57jFXt5qxjxzJ3YJxLkLOZ_3A75yAAJyI1qGo-sJXCALEkYWCltwIzS6EA3cO7utVj]
[Tue Jan 19 05:43:17 2016]	[client: 112.203.14.177] [file: core.class.php] - [Device ID: 41363d5bee9417e3, Platform: android, PUSH ID: APA91bG43izTxB4rO3ACDhe2Z91qsYeHqD_71ACFeMXVrZBJFoRk90sNs4NA80OySf1D4-Ql_a57jFXt5qxjxzJ3YJxLkLOZ_3A75yAAJyI1qGo-sJXCALEkYWCltwIzS6EA3cO7utVj]	 Status: [Existing]
[Tue Jan 19 05:43:18 2016]	[client: 112.203.14.177] [file: core.class.php] - [Device ID: 41363d5bee9417e3, Platform: android, PUSH ID: APA91bG43izTxB4rO3ACDhe2Z91qsYeHqD_71ACFeMXVrZBJFoRk90sNs4NA80OySf1D4-Ql_a57jFXt5qxjxzJ3YJxLkLOZ_3A75yAAJyI1qGo-sJXCALEkYWCltwIzS6EA3cO7utVj]	 Status: [Existing]
[Tue Jan 19 05:43:19 2016]	[client: 112.203.14.177] [file: core.class.php] - [Device ID: 41363d5bee9417e3, Platform: android, PUSH ID: APA91bG43izTxB4rO3ACDhe2Z91qsYeHqD_71ACFeMXVrZBJFoRk90sNs4NA80OySf1D4-Ql_a57jFXt5qxjxzJ3YJxLkLOZ_3A75yAAJyI1qGo-sJXCALEkYWCltwIzS6EA3cO7utVj]	 Status: [Existing]
[Tue Jan 19 05:43:20 2016]	[client: 112.203.14.177] [file: core.class.php] - [Device ID: 41363d5bee9417e3, Platform: android, PUSH ID: APA91bG43izTxB4rO3ACDhe2Z91qsYeHqD_71ACFeMXVrZBJFoRk90sNs4NA80OySf1D4-Ql_a57jFXt5qxjxzJ3YJxLkLOZ_3A75yAAJyI1qGo-sJXCALEkYWCltwIzS6EA3cO7utVj]	 Status: [Existing]
[Tue Jan 19 08:38:51 2016]	[client: 112.198.78.223] [file: core.class.php] - [Device ID: 3e7de1a56e9993a8, Platform: android, PUSH ID: APA91bGQXOHzeDS7z11AS5dgUtNTvj3eLipjQeBbdqOLD_ssZNxuvH86MeeasBvRPCRWJFZHYxKbIwypvv0blBDmXbKflSR1TfUDTDAn4_DcQS8enuc1Y98IRj_le0JBidzRNL7JbkD5]	 Status: [Existing]
[Tue Jan 19 08:38:51 2016]	[client: 112.198.78.223] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 3e7de1a56e9993a8, Platform: android, PUSH ID: APA91bGQXOHzeDS7z11AS5dgUtNTvj3eLipjQeBbdqOLD_ssZNxuvH86MeeasBvRPCRWJFZHYxKbIwypvv0blBDmXbKflSR1TfUDTDAn4_DcQS8enuc1Y98IRj_le0JBidzRNL7JbkD5]
[Tue Jan 19 16:33:20 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 41f7c6f220e8c70d, Platform: android, PUSH ID: APA91bGBrI7LU5RgW7uGa01xpRxgdFzX-v_a1toq6oxZFi85yIik5Iu_3Zz5vdVBxxFK8_HEKk9WCPlUbeDQEWeLXYFZ6i-5ZDwbUH1rJ-qBthjYiX5fLc5u0QaMej8RagqaYJ2ygv8I]	 Status: [Success]
[Tue Jan 19 16:33:21 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 41f7c6f220e8c70d, Platform: android, PUSH ID: APA91bGBrI7LU5RgW7uGa01xpRxgdFzX-v_a1toq6oxZFi85yIik5Iu_3Zz5vdVBxxFK8_HEKk9WCPlUbeDQEWeLXYFZ6i-5ZDwbUH1rJ-qBthjYiX5fLc5u0QaMej8RagqaYJ2ygv8I]	 Status: [Existing]
[Tue Jan 19 17:02:29 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 41f7c6f220e8c70d, Platform: android, PUSH ID: APA91bGBrI7LU5RgW7uGa01xpRxgdFzX-v_a1toq6oxZFi85yIik5Iu_3Zz5vdVBxxFK8_HEKk9WCPlUbeDQEWeLXYFZ6i-5ZDwbUH1rJ-qBthjYiX5fLc5u0QaMej8RagqaYJ2ygv8I]	 Status: [Existing]
[Tue Jan 19 17:02:30 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 41f7c6f220e8c70d, Platform: android, PUSH ID: APA91bGBrI7LU5RgW7uGa01xpRxgdFzX-v_a1toq6oxZFi85yIik5Iu_3Zz5vdVBxxFK8_HEKk9WCPlUbeDQEWeLXYFZ6i-5ZDwbUH1rJ-qBthjYiX5fLc5u0QaMej8RagqaYJ2ygv8I]	 Status: [Existing]
[Tue Jan 19 18:27:01 2016]	[client: 112.198.78.33] [file: core.class.php] - [Device ID: b9967625c11e029d, Platform: android, PUSH ID: APA91bH5QadpFkaKrlMlBOcn2E7DiImZznV3NnY5KVeFeXEZ3BAyv1Fm-fzR7RWcGiWdU7Ud7LZusFD2QLos-EOyDvw7f2lFJvyfloPjrq1bgg5ZOxk58Deug3uizAjkKZYJxJd7WuqE]	 Status: [Success]
[Tue Jan 19 18:27:02 2016]	[client: 112.198.78.33] [file: core.class.php] - [Device ID: b9967625c11e029d, Platform: android, PUSH ID: APA91bH5QadpFkaKrlMlBOcn2E7DiImZznV3NnY5KVeFeXEZ3BAyv1Fm-fzR7RWcGiWdU7Ud7LZusFD2QLos-EOyDvw7f2lFJvyfloPjrq1bgg5ZOxk58Deug3uizAjkKZYJxJd7WuqE]	 Status: [Existing]
[Tue Jan 19 19:06:47 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 1F74E2E3-CD01-4E8F-ADD7-565A1EB7AF6E, Platform: ios, PUSH ID: 18ca472c26bc1a194eaaac0e3751a04e36f3762b88bc4786af845d8f0fc04eb3]	 Status: [Success]
[Tue Jan 19 19:41:26 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 18AE22E5-2166-405D-BF8E-EF820156E2F7, Platform: ios, PUSH ID: 25ce85c1f8089055330df32484592eb95722c79ef94e1fc323d31a5c2e971307]	 Status: [Success]
[Tue Jan 19 19:44:40 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 39803C67-CBFB-45B8-9EF8-149632D56642, Platform: ios, PUSH ID: 29955c5a46c755e7a5ef08490a31e231f9a15d17a6721beff490dbe1669c8db8]	 Status: [Success]
[Tue Jan 19 19:47:06 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 1c2bd92ad9eb3148, Platform: android, PUSH ID: APA91bGiP0lm5dSIc6oxgsj7cAQ890Ac0qM6LK9dyJBeXK23gInsVWNyC3eXpO6H_zsiS2TBdyTXXyTISNMzXRVT01Xmv5Kr_yXzUB6-sxP1P4nQVxQgk46gYkhOOEpbWZBsWOVe5yo6]	 Status: [Success]
[Tue Jan 19 19:47:06 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 1c2bd92ad9eb3148, Platform: android, PUSH ID: APA91bGiP0lm5dSIc6oxgsj7cAQ890Ac0qM6LK9dyJBeXK23gInsVWNyC3eXpO6H_zsiS2TBdyTXXyTISNMzXRVT01Xmv5Kr_yXzUB6-sxP1P4nQVxQgk46gYkhOOEpbWZBsWOVe5yo6]
[Tue Jan 19 20:58:58 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: ECF53691-3F60-48DE-A59D-A68793EB8F9D, Platform: ios, PUSH ID: f221c518795c1940c0f6dcd07cca0bee4d6d6d8c11769a8705dd6cc7339c8ca9]	 Status: [Success]
[Tue Jan 19 21:02:25 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 892f19e4a5d92843, Platform: android, PUSH ID: APA91bHR1n8499fKocMsVXUSxuPR551ayrTCkMF8aADEv7sR2LVZoE8ivU4fhQsBZRU-oQOaCTHzRZ9uK1dVQIm4fuTtrEkqRosKbn11r8rUy80CRRGftNbgehxlX-a0f0zic0crw5Lt]	 Status: [Success]
[Tue Jan 19 21:02:25 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 892f19e4a5d92843, Platform: android, PUSH ID: APA91bHR1n8499fKocMsVXUSxuPR551ayrTCkMF8aADEv7sR2LVZoE8ivU4fhQsBZRU-oQOaCTHzRZ9uK1dVQIm4fuTtrEkqRosKbn11r8rUy80CRRGftNbgehxlX-a0f0zic0crw5Lt]	 Status: [Existing]
[Tue Jan 19 21:02:27 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 3FB63435-47F3-47D7-83DC-26C53830E0DC, Platform: ios, PUSH ID: 94bbddfcb0f00867d3b246fb920c9ad112b967bbf10da167cecffb74e12332a3]	 Status: [Success]
[Tue Jan 19 21:02:31 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 6005AFBC-1E05-497D-A550-FADCB9C01F81, Platform: ios, PUSH ID: 8ee907851c5de9ba5f0be00a3549638be6f6eb21c60e3178921e2150f90fd15b]	 Status: [Success]
[Tue Jan 19 21:08:50 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 5d714e4b7552e303, Platform: android, PUSH ID: APA91bFSQuqWtohajcypPYxyUZ_lJ-AO0RSBCZrFpOUlILpkFD08mX20qddiXH2KLXX7yyMhVjVdoeC8jP9vgb8egd97Md-POyUR6s-dHwbsQqV7dDi2c--Ke_PzRu_mnjh_mbo60O31]	 Status: [Success]
[Tue Jan 19 21:08:51 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 5d714e4b7552e303, Platform: android, PUSH ID: APA91bFSQuqWtohajcypPYxyUZ_lJ-AO0RSBCZrFpOUlILpkFD08mX20qddiXH2KLXX7yyMhVjVdoeC8jP9vgb8egd97Md-POyUR6s-dHwbsQqV7dDi2c--Ke_PzRu_mnjh_mbo60O31]	 Status: [Existing]
[Tue Jan 19 21:18:19 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 78df842c7170d875, Platform: android, PUSH ID: APA91bGnJmr7xgl3D9lP80DfnkMaKViUywvOwTxbTs5IYkXE4tvU4nHqfjMmPxyoiUYyDZWrJ61BL95BqMr5hYTuLW8cl0FbO7l_0dUQxGcyuWEY6y8gralAkSKKViRThUJXXlRVSYh6]	 Status: [Success]
[Tue Jan 19 21:18:20 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 78df842c7170d875, Platform: android, PUSH ID: APA91bHArXFCf9T9Z05tL80hftN-MQrOkK0moLLbjjfuoJW__QKExQ5aPfbVYp7BrXr78Bf-Xlv8zS3RHe4Vi11CVL_y8srE8v8p_l8U1-hVb_UiETnAeBUp3Ts8bvK9LF_Ij50zbJxx]	 Status: [Existing]
[Tue Jan 19 21:26:18 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 78df842c7170d875, Platform: android, PUSH ID: APA91bHArXFCf9T9Z05tL80hftN-MQrOkK0moLLbjjfuoJW__QKExQ5aPfbVYp7BrXr78Bf-Xlv8zS3RHe4Vi11CVL_y8srE8v8p_l8U1-hVb_UiETnAeBUp3Ts8bvK9LF_Ij50zbJxx]	 Status: [Existing]
