[Wed Jan 20 09:44:15 2016]	[client: 112.198.102.239] [file: core.class.php] - [Device ID: e88219aadc220fff, Platform: android, PUSH ID: APA91bEO8BI7CMm_KLRIGc8hUWIOgRu7qGfxJv3pnMF2U_cs1TUnFYAbWHLo-No0CRUI8vb4vbSWdUnty9cEqlFLPHcOZEnA7MQibgDGxr85WEjjzfZtQArEOK13vV18p-ZxWGRSWuVZ]	 Status: [Success]
[Wed Jan 20 09:44:16 2016]	[client: 112.198.102.239] [file: core.class.php] - [Device ID: e88219aadc220fff, Platform: android, PUSH ID: APA91bEO8BI7CMm_KLRIGc8hUWIOgRu7qGfxJv3pnMF2U_cs1TUnFYAbWHLo-No0CRUI8vb4vbSWdUnty9cEqlFLPHcOZEnA7MQibgDGxr85WEjjzfZtQArEOK13vV18p-ZxWGRSWuVZ]	 Status: [Existing]
[Wed Jan 20 09:47:10 2016]	[client: 121.54.32.135] [file: core.class.php] - [Device ID: 7C26F815-FDBF-4316-AA0F-0C61446BA81D, Platform: ios, PUSH ID: f281740081c3f79447621d4156c885436263c6442adc7b2ab0937f4612b1dcd2]	 Status: [Success]
[Wed Jan 20 09:50:09 2016]	[client: 121.54.54.179] [file: core.class.php] - [Device ID: 54E96C76-CF36-47C1-8919-7DD27ED98586, Platform: ios, PUSH ID: 43606c283f27ad7d8169d79eaf87b9720037c60e1beda5c9c9491235edf3f292]	 Status: [Success]
[Wed Jan 20 09:50:12 2016]	[client: 112.198.102.239] [file: core.class.php] - [Device ID: e88219aadc220fff, Platform: android, PUSH ID: APA91bEO8BI7CMm_KLRIGc8hUWIOgRu7qGfxJv3pnMF2U_cs1TUnFYAbWHLo-No0CRUI8vb4vbSWdUnty9cEqlFLPHcOZEnA7MQibgDGxr85WEjjzfZtQArEOK13vV18p-ZxWGRSWuVZ]	 Status: [Existing]
[Wed Jan 20 09:50:13 2016]	[client: 112.198.102.239] [file: core.class.php] - [Device ID: e88219aadc220fff, Platform: android, PUSH ID: APA91bEO8BI7CMm_KLRIGc8hUWIOgRu7qGfxJv3pnMF2U_cs1TUnFYAbWHLo-No0CRUI8vb4vbSWdUnty9cEqlFLPHcOZEnA7MQibgDGxr85WEjjzfZtQArEOK13vV18p-ZxWGRSWuVZ]	 Status: [Existing]
[Wed Jan 20 10:20:20 2016]	[client: 112.209.71.197] [file: core.class.php] - [Device ID: 7110293666c56300, Platform: android, PUSH ID: APA91bFF_Jp6RyRRCUR-Bx5llirFl6510tHgZeWgbxqqza7yCNrFomfV7Yiv6AJdb_-B3tUde2KkXJBQmFb-OGWMU0VwnoF-VcgjKqOqfUebNqJ7rtleO2QJ4ErvvzlEJXUWB_iYX8PU]	 Status: [Success]
[Wed Jan 20 10:20:25 2016]	[client: 112.209.71.197] [file: core.class.php] - [Device ID: 7110293666c56300, Platform: android, PUSH ID: APA91bFF_Jp6RyRRCUR-Bx5llirFl6510tHgZeWgbxqqza7yCNrFomfV7Yiv6AJdb_-B3tUde2KkXJBQmFb-OGWMU0VwnoF-VcgjKqOqfUebNqJ7rtleO2QJ4ErvvzlEJXUWB_iYX8PU]	 Status: [Existing]
[Wed Jan 20 11:38:25 2016]	[client: 49.149.84.89] [file: core.class.php] - [Device ID: fe011a58a93b477b, Platform: android, PUSH ID: APA91bGD-bEwXh3fxoNZkJEarb-j0A9sQ9vbI9yNP0nW3Dp-zIs9te_d7h06pT_JvdElQ6pi5HWmImbVw6EdmGOH73CjBYY4e2dtFrmV5b0lPgT9JYTFDbhpQ199VFsTVdZjNoRk_tuS]	 Status: [Existing]
[Wed Jan 20 11:38:25 2016]	[client: 49.149.84.89] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: fe011a58a93b477b, Platform: android, PUSH ID: APA91bGD-bEwXh3fxoNZkJEarb-j0A9sQ9vbI9yNP0nW3Dp-zIs9te_d7h06pT_JvdElQ6pi5HWmImbVw6EdmGOH73CjBYY4e2dtFrmV5b0lPgT9JYTFDbhpQ199VFsTVdZjNoRk_tuS]
[Wed Jan 20 18:04:00 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Wed Jan 20 18:04:00 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Wed Jan 20 18:38:53 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 43470967fa521b50, Platform: android, PUSH ID: APA91bF3lAVCUQKf__vMWGkPaEVk6pPdlWrI28CCNdqk8wbe3Bj5YoyG0ZNI6xaQmA9PyrxUAu0OMh4vDqQustcu6VP1NcIzzczufWOVJOLXZ2eO8Y5wIAnOrktCeFPj_FIvtbr-OzSK]	 Status: [Success]
[Wed Jan 20 18:38:53 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 43470967fa521b50, Platform: android, PUSH ID: APA91bF3lAVCUQKf__vMWGkPaEVk6pPdlWrI28CCNdqk8wbe3Bj5YoyG0ZNI6xaQmA9PyrxUAu0OMh4vDqQustcu6VP1NcIzzczufWOVJOLXZ2eO8Y5wIAnOrktCeFPj_FIvtbr-OzSK]
[Wed Jan 20 18:49:14 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 68b41eb227667a47, Platform: android, PUSH ID: APA91bHzj5djRqMVd2WphN8w5HzUmPN1fVb22qtAd8UjDD2ZpDQg_74ScTOYMJvLVj3ygwh8AJW7zBtD6oJDRdCPOfCstEMredKTir1_t2Fpq6yv7A7YSP9DP25QWNulSXy1dPPTFG-2]	 Status: [Success]
[Wed Jan 20 18:49:15 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 68b41eb227667a47, Platform: android, PUSH ID: APA91bHzj5djRqMVd2WphN8w5HzUmPN1fVb22qtAd8UjDD2ZpDQg_74ScTOYMJvLVj3ygwh8AJW7zBtD6oJDRdCPOfCstEMredKTir1_t2Fpq6yv7A7YSP9DP25QWNulSXy1dPPTFG-2]
