[Wed Jan 20 19:04:12 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 19:04:24 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 19:25:33 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 19:25:46 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 19:30:07 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 19:30:21 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 19:37:10 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 20:03:59 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 20:04:14 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 21:13:27 2016]	[client: 112.208.21.39] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 21:13:42 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 21:20:42 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Wed Jan 20 21:20:46 2016]	[client: 112.208.21.39] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
