[Thu Jan 21 14:20:17 2016]	[client: 180.191.143.171] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bHKAZZ2BizBWOhbjinbxVeATioq-M5ks_3ZxVsyFQYLqSGFIhAy3jpZEborPUMOypZFmPNd4P3WPLPpjc-Qax5Op6-D8HPSsvQ310W78rvEnzzThYMb4DDRWgOrMjTDTUEpGivr]	 Status: [Success]
[Thu Jan 21 14:20:18 2016]	[client: 180.191.143.171] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bHKAZZ2BizBWOhbjinbxVeATioq-M5ks_3ZxVsyFQYLqSGFIhAy3jpZEborPUMOypZFmPNd4P3WPLPpjc-Qax5Op6-D8HPSsvQ310W78rvEnzzThYMb4DDRWgOrMjTDTUEpGivr]
[Thu Jan 21 14:24:34 2016]	[client: 180.191.143.171] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bHKAZZ2BizBWOhbjinbxVeATioq-M5ks_3ZxVsyFQYLqSGFIhAy3jpZEborPUMOypZFmPNd4P3WPLPpjc-Qax5Op6-D8HPSsvQ310W78rvEnzzThYMb4DDRWgOrMjTDTUEpGivr]	 Status: [Existing]
[Thu Jan 21 14:24:34 2016]	[client: 180.191.143.171] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bHKAZZ2BizBWOhbjinbxVeATioq-M5ks_3ZxVsyFQYLqSGFIhAy3jpZEborPUMOypZFmPNd4P3WPLPpjc-Qax5Op6-D8HPSsvQ310W78rvEnzzThYMb4DDRWgOrMjTDTUEpGivr]
[Thu Jan 21 14:26:37 2016]	[client: 180.191.143.171] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bHKAZZ2BizBWOhbjinbxVeATioq-M5ks_3ZxVsyFQYLqSGFIhAy3jpZEborPUMOypZFmPNd4P3WPLPpjc-Qax5Op6-D8HPSsvQ310W78rvEnzzThYMb4DDRWgOrMjTDTUEpGivr]	 Status: [Existing]
[Thu Jan 21 14:26:37 2016]	[client: 180.191.143.171] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bHKAZZ2BizBWOhbjinbxVeATioq-M5ks_3ZxVsyFQYLqSGFIhAy3jpZEborPUMOypZFmPNd4P3WPLPpjc-Qax5Op6-D8HPSsvQ310W78rvEnzzThYMb4DDRWgOrMjTDTUEpGivr]
[Thu Jan 21 14:33:47 2016]	[client: 180.191.143.171] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bE8X-XBBvB9mBts26CBOvExhVcJmwZu1qIU_Bvgpq3j6zW55HLx76WF_ckau65ne2GFwiVhbr9XLDqTg3EplB1OZyXECdavTrrpqWoQkpGZE5vHVpYH5L0JbdD7Z-PhFiiWmh7S]	 Status: [Existing]
[Thu Jan 21 14:33:47 2016]	[client: 180.191.143.171] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bE8X-XBBvB9mBts26CBOvExhVcJmwZu1qIU_Bvgpq3j6zW55HLx76WF_ckau65ne2GFwiVhbr9XLDqTg3EplB1OZyXECdavTrrpqWoQkpGZE5vHVpYH5L0JbdD7Z-PhFiiWmh7S]
[Thu Jan 21 14:38:04 2016]	[client: 180.191.143.171] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bE8X-XBBvB9mBts26CBOvExhVcJmwZu1qIU_Bvgpq3j6zW55HLx76WF_ckau65ne2GFwiVhbr9XLDqTg3EplB1OZyXECdavTrrpqWoQkpGZE5vHVpYH5L0JbdD7Z-PhFiiWmh7S]	 Status: [Existing]
[Thu Jan 21 14:38:04 2016]	[client: 180.191.143.171] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bE8X-XBBvB9mBts26CBOvExhVcJmwZu1qIU_Bvgpq3j6zW55HLx76WF_ckau65ne2GFwiVhbr9XLDqTg3EplB1OZyXECdavTrrpqWoQkpGZE5vHVpYH5L0JbdD7Z-PhFiiWmh7S]
[Thu Jan 21 14:45:10 2016]	[client: 112.198.83.37] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGxPjP1fP_39-05mcvke0Gh3nU7QrqXppW7rENdz7fwewR_EbirxMuwSMoIHmcagyn0BB2QxdtVkM2RetRd4DQIffTni7Wyevvpo6k31okQDB1l_KNFbtEbh4SCBZP0uYWe_2jt]	 Status: [Existing]
