[Thu Jan 21 19:13:44 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 19:13:54 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 19:16:09 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 19:16:16 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 19:19:43 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 19:20:03 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 19:42:19 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 19:42:27 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:00:47 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:00:56 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:01:05 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:01:15 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:06:21 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:13:21 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:13:30 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:21:39 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:22:56 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:31:18 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:39:49 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 20:39:58 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 21:01:16 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Jan 21 21:01:23 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
