[Fri Jan 22 00:08:34 2016]	[client: 112.198.90.67] [file: core.class.php] - [Device ID: c8231494749f62e1, Platform: android, PUSH ID: APA91bHAiiI9O_ca5drxZDACZ1pqIUsNCceSPgdn_icP99GGyRgkuEBH8r-lDS6E5KwU8Cac7GosAJSjZYKhGz4Dt0Z17awvlYClE8lefUf-ZUIviP-qTvZv_tPbS9iGSIaJ9rkoPAxa]	 Status: [Existing]
[Fri Jan 22 00:08:35 2016]	[client: 112.198.90.67] [file: core.class.php] - [Device ID: c8231494749f62e1, Platform: android, PUSH ID: APA91bHAiiI9O_ca5drxZDACZ1pqIUsNCceSPgdn_icP99GGyRgkuEBH8r-lDS6E5KwU8Cac7GosAJSjZYKhGz4Dt0Z17awvlYClE8lefUf-ZUIviP-qTvZv_tPbS9iGSIaJ9rkoPAxa]	 Status: [Existing]
[Fri Jan 22 00:12:14 2016]	[client: 49.145.196.131] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Fri Jan 22 00:12:15 2016]	[client: 49.145.196.131] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Fri Jan 22 08:17:36 2016]	[client: 49.145.196.131] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Fri Jan 22 08:17:37 2016]	[client: 49.145.196.131] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Fri Jan 22 08:35:40 2016]	[client: 121.54.54.137] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]	 Status: [Existing]
[Fri Jan 22 08:35:46 2016]	[client: 121.54.54.137] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]	 Status: [Existing]
[Fri Jan 22 12:47:13 2016]	[client: 112.198.102.121] [file: core.class.php] - [Device ID: ec7b21fdd3a95f38, Platform: android, PUSH ID: APA91bENg8H-EvAD1NTCkCTK_g7nREW-8VQP2_QbfDx1U8pGLCmHHhOg-fAgmzTe9xS7ncNxZgC5p4Tf7WWqCr7NYBovpvf5qfXilhfGinP1MX2cgfmbS57o8ucTNfRV4cjznl_2yrOz]	 Status: [Existing]
[Fri Jan 22 12:47:15 2016]	[client: 112.198.102.121] [file: core.class.php] - [Device ID: ec7b21fdd3a95f38, Platform: android, PUSH ID: APA91bENg8H-EvAD1NTCkCTK_g7nREW-8VQP2_QbfDx1U8pGLCmHHhOg-fAgmzTe9xS7ncNxZgC5p4Tf7WWqCr7NYBovpvf5qfXilhfGinP1MX2cgfmbS57o8ucTNfRV4cjznl_2yrOz]	 Status: [Existing]
[Fri Jan 22 12:53:01 2016]	[client: 112.198.102.244] [file: core.class.php] - [Device ID: bacf23727789c0ba, Platform: android, PUSH ID: APA91bH5xQVq__WDo3wuohETZn5Wb8AET47rZW8beptgBg3jnJuM7RnicK85oLNmUBMtazjrarwy6rScR7VV9cBd3IR48vOBnd1DrrQJ7wjB8g2rlR1J-_Xwa_9N8y0XxUuBzOl9nj0b]	 Status: [Existing]
