[Fri Jan 22 18:54:02 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 18:54:25 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 18:58:53 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 18:59:30 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:40:38 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:40:50 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:41:00 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:41:09 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:43:18 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:43:27 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:44:15 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:44:24 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:47:22 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:47:35 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:50:52 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Fri Jan 22 19:50:59 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
