[Sat Jan 23 08:16:38 2016]	[client: 112.198.246.80] [file: core.class.php] - [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]	 Status: [Existing]
[Sat Jan 23 08:16:38 2016]	[client: 112.198.246.80] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2da3c00f4dccb38, Platform: android, PUSH ID: APA91bFnCLquF17qJF1bT5s3Nf6pfuLMWRHj6LWWz9Skcw9OwFnQJDZgnYNu4UMB1VIYQ9Vo7PY4HbUAJ6dQsMtaiwqeWfVNIDR6JxD419pwI864Xg-hb_GWN2lRX_Y7UteG3iIg1tDS]
[Sat Jan 23 08:42:42 2016]	[client: 121.54.54.142] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]	 Status: [Existing]
[Sat Jan 23 08:42:42 2016]	[client: 121.54.54.142] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]
[Sat Jan 23 12:32:39 2016]	[client: 180.191.138.93] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Sat Jan 23 12:32:39 2016]	[client: 180.191.138.93] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]
[Sat Jan 23 12:43:12 2016]	[client: 121.54.54.174] [file: core.class.php] - [Device ID: 2bd36e45b267fa34, Platform: android, PUSH ID: APA91bGxele6UPxGs3uBdqexUnHqgWNi7JGLEnxUGAiNN4uHnDxBVWpm4nvI2KC8qcDumi8zw1S4a_KVg41zCiWEJcEQ1mviF5UZxGua9buVOMcdAQSorOJlB8JXaGakIbP0O67S2bpV]	 Status: [Success]
[Sat Jan 23 12:43:13 2016]	[client: 121.54.54.174] [file: core.class.php] - [Device ID: 2bd36e45b267fa34, Platform: android, PUSH ID: APA91bGxele6UPxGs3uBdqexUnHqgWNi7JGLEnxUGAiNN4uHnDxBVWpm4nvI2KC8qcDumi8zw1S4a_KVg41zCiWEJcEQ1mviF5UZxGua9buVOMcdAQSorOJlB8JXaGakIbP0O67S2bpV]	 Status: [Existing]
[Sat Jan 23 14:16:46 2016]	[client: 112.198.77.119] [file: core.class.php] - [Device ID: bacf23727789c0ba, Platform: android, PUSH ID: APA91bH5xQVq__WDo3wuohETZn5Wb8AET47rZW8beptgBg3jnJuM7RnicK85oLNmUBMtazjrarwy6rScR7VV9cBd3IR48vOBnd1DrrQJ7wjB8g2rlR1J-_Xwa_9N8y0XxUuBzOl9nj0b]	 Status: [Existing]
[Sat Jan 23 14:16:47 2016]	[client: 112.198.77.119] [file: core.class.php] - [Device ID: bacf23727789c0ba, Platform: android, PUSH ID: APA91bH5xQVq__WDo3wuohETZn5Wb8AET47rZW8beptgBg3jnJuM7RnicK85oLNmUBMtazjrarwy6rScR7VV9cBd3IR48vOBnd1DrrQJ7wjB8g2rlR1J-_Xwa_9N8y0XxUuBzOl9nj0b]	 Status: [Existing]
[Sat Jan 23 14:46:29 2016]	[client: 119.95.145.106] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Existing]
