[Sun Jan 24 06:01:15 2016]	[client: 112.198.83.186] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Sun Jan 24 06:01:15 2016]	[client: 112.198.83.186] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]
[Sun Jan 24 12:45:18 2016]	[client: 180.191.103.15] [file: core.class.php] - [Device ID: 98207be4d117a5d2, Platform: android, PUSH ID: APA91bH5bvS_MLa03svo44YuEsjTrJNVoVEBc5a8qVXW-STrUhmGvHdapMnbLjDhWr34hth4ARBWKqfGQZ2WU8CPUG24uKzDNr5EZ64Wjc1FZ1di_jEZNZvYaFoE95CBjC8oPHpGi72a]	 Status: [Existing]
[Sun Jan 24 12:45:18 2016]	[client: 180.191.103.15] [file: core.class.php] - [Device ID: 98207be4d117a5d2, Platform: android, PUSH ID: APA91bH5bvS_MLa03svo44YuEsjTrJNVoVEBc5a8qVXW-STrUhmGvHdapMnbLjDhWr34hth4ARBWKqfGQZ2WU8CPUG24uKzDNr5EZ64Wjc1FZ1di_jEZNZvYaFoE95CBjC8oPHpGi72a]	 Status: [Existing]
[Sun Jan 24 12:57:11 2016]	[client: 180.191.142.81] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Sun Jan 24 12:57:11 2016]	[client: 180.191.142.81] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]
[Sun Jan 24 16:25:21 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 3f96bd61d322ed9c, Platform: android, PUSH ID: APA91bHeZRyFe2Ju1Mkn1rm1n25_ZnH7g59GHubxym2cTexgTljhegzOR4VJnhXONh9QgWIMp2Ks25eJcaU36ZPDL7AX5JgcrhbA6WrZHHmSQ8QuZ2bpN7QHXXk7Db8cLtOmzuOCxtT7]	 Status: [Success]
[Sun Jan 24 16:25:22 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 3f96bd61d322ed9c, Platform: android, PUSH ID: APA91bHeZRyFe2Ju1Mkn1rm1n25_ZnH7g59GHubxym2cTexgTljhegzOR4VJnhXONh9QgWIMp2Ks25eJcaU36ZPDL7AX5JgcrhbA6WrZHHmSQ8QuZ2bpN7QHXXk7Db8cLtOmzuOCxtT7]	 Status: [Existing]
[Sun Jan 24 16:41:52 2016]	[client: 121.54.32.145] [file: core.class.php] - [Device ID: 678ff40464d42e74, Platform: android, PUSH ID: APA91bFKSoBtpy6SjgIp6AECYRqa0gSbUCZdptYdxkPzdvCcZ1cr18SfXLmZ8CWMTJVU8_bu3XNLiVxcRFpOSnWtl77iyxg32Ri9rLgQj9Wb4YTT4Cfxc8ztEeJYncJth-ClxU53emD_]	 Status: [Success]
[Sun Jan 24 16:41:52 2016]	[client: 121.54.32.145] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 678ff40464d42e74, Platform: android, PUSH ID: APA91bFKSoBtpy6SjgIp6AECYRqa0gSbUCZdptYdxkPzdvCcZ1cr18SfXLmZ8CWMTJVU8_bu3XNLiVxcRFpOSnWtl77iyxg32Ri9rLgQj9Wb4YTT4Cfxc8ztEeJYncJth-ClxU53emD_]
[Sun Jan 24 17:00:50 2016]	[client: 121.54.54.249] [file: core.class.php] - [Device ID: 2bd36e45b267fa34, Platform: android, PUSH ID: APA91bGxele6UPxGs3uBdqexUnHqgWNi7JGLEnxUGAiNN4uHnDxBVWpm4nvI2KC8qcDumi8zw1S4a_KVg41zCiWEJcEQ1mviF5UZxGua9buVOMcdAQSorOJlB8JXaGakIbP0O67S2bpV]	 Status: [Existing]
