[Sun Jan 24 12:57:30 2016]	[client: 180.191.142.81] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 12:58:54 2016]	[client: 180.191.142.81] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 13:00:53 2016]	[client: 180.191.142.81] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 13:01:28 2016]	[client: 180.191.142.81] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 13:01:48 2016]	[client: 180.191.142.81] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 16:00:19 2016]	[client: 180.191.138.167] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 16:01:59 2016]	[client: 180.191.138.167] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 16:02:35 2016]	[client: 180.191.138.167] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 16:35:33 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 17:21:07 2016]	[client: 180.190.90.62] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 17:23:22 2016]	[client: 180.191.143.239] [file: core.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 17:24:10 2016]	[client: 180.191.143.239] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Sun Jan 24 19:32:56 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 19:33:05 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 19:48:53 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 19:50:41 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 19:50:53 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 20:29:19 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 20:29:27 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 20:32:23 2016]	[client: 112.208.32.15] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 20:32:32 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 21:01:45 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Sun Jan 24 21:23:46 2016]	[client: 112.208.32.15] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
