[Mon Jan 25 14:36:02 2016]	[client: 121.54.32.148] [file: core.class.php] - [Device ID: E0868361-A497-4276-BFB1-27E9FDB31D95, Platform: ios, PUSH ID: eacee654f4bc5be3bd921bc4ab3df915dd0285186832d333dd441faf2b14b961]	 Status: [Success]
[Mon Jan 25 14:55:43 2016]	[client: 121.58.242.202] [file: core.class.php] - [Device ID: af873a46c2dde5a9, Platform: android, PUSH ID: APA91bFK7CaIem67Ma56dfXWJ4pp2bqpfCPyoDtjJvfksww5TO3HNzN78jMDCkiufIacUbKy42Mqw4HlyQuDchiARL13UYfg0NzH7nnXr9o6lPtrQvl78-fTDXFMQoZKxNiN-ovkOoEW]	 Status: [Existing]
[Mon Jan 25 14:55:43 2016]	[client: 121.58.242.202] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: af873a46c2dde5a9, Platform: android, PUSH ID: APA91bFK7CaIem67Ma56dfXWJ4pp2bqpfCPyoDtjJvfksww5TO3HNzN78jMDCkiufIacUbKy42Mqw4HlyQuDchiARL13UYfg0NzH7nnXr9o6lPtrQvl78-fTDXFMQoZKxNiN-ovkOoEW]
[Mon Jan 25 19:02:13 2016]	[client: 112.198.102.154] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Mon Jan 25 19:02:14 2016]	[client: 112.198.102.154] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Mon Jan 25 20:09:09 2016]	[client: 180.190.94.3] [file: core.class.php] - [Device ID: f8ffb8a2014abdad, Platform: android, PUSH ID: APA91bFaU--Nc8547CDGfcPt9Z3nmLoUkD2_dbDg9eilcMAPuFcz-PS1CL7lvqiShY38ftu5aaO6IC7yaTLMhXu4da7m9YWwGXvHwRh7D0tPidfpMkUECpNDyBiQ6QITByW4qukPG6b4]	 Status: [Success]
[Mon Jan 25 20:09:10 2016]	[client: 180.190.94.3] [file: core.class.php] - [Device ID: f8ffb8a2014abdad, Platform: android, PUSH ID: APA91bFaU--Nc8547CDGfcPt9Z3nmLoUkD2_dbDg9eilcMAPuFcz-PS1CL7lvqiShY38ftu5aaO6IC7yaTLMhXu4da7m9YWwGXvHwRh7D0tPidfpMkUECpNDyBiQ6QITByW4qukPG6b4]	 Status: [Existing]
[Mon Jan 25 20:10:44 2016]	[client: 180.190.94.3] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Mon Jan 25 20:10:44 2016]	[client: 180.190.94.3] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]
[Mon Jan 25 20:41:55 2016]	[client: 112.198.90.229] [file: core.class.php] - [Device ID: 2bcb673e86746bc, Platform: android, PUSH ID: APA91bG-_gvks1yx9Zt6nsfHpv5yC0kAFWeu9lKP9hTB3LpGaHoccMIzQ2P17kKIpFLRU4WwoagPF8a2tDQPoGR-NUfIFQqYlNCzSzA7wd0ZAyISElqry3_lqBPdyXfHwi1tNnGH5QgJ]	 Status: [Success]
[Mon Jan 25 20:41:55 2016]	[client: 112.198.90.229] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2bcb673e86746bc, Platform: android, PUSH ID: APA91bG-_gvks1yx9Zt6nsfHpv5yC0kAFWeu9lKP9hTB3LpGaHoccMIzQ2P17kKIpFLRU4WwoagPF8a2tDQPoGR-NUfIFQqYlNCzSzA7wd0ZAyISElqry3_lqBPdyXfHwi1tNnGH5QgJ]
