[Tue Jan 26 11:16:28 2016]	[client: 180.191.142.142] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Tue Jan 26 11:16:28 2016]	[client: 180.191.142.142] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]
[Tue Jan 26 11:18:15 2016]	[client: 114.108.214.224] [file: core.class.php] - [Device ID: 3d7b5b2ad2a93aef, Platform: android, PUSH ID: APA91bFmKGZ80n5yvlnHi9OiE6W0FCzYw92-x2yr3SjHS1PnJiVAIZ-4r56PqThO4Dq9dU9PUnTzpKkbb1DzqYzXcNfi5P4wYpeowQ2ht8V3MeLd7QpeGHoZJcMYGo-Y-fyCtasjKl_q]	 Status: [Existing]
[Tue Jan 26 11:18:16 2016]	[client: 114.108.214.224] [file: core.class.php] - [Device ID: 3d7b5b2ad2a93aef, Platform: android, PUSH ID: APA91bFmKGZ80n5yvlnHi9OiE6W0FCzYw92-x2yr3SjHS1PnJiVAIZ-4r56PqThO4Dq9dU9PUnTzpKkbb1DzqYzXcNfi5P4wYpeowQ2ht8V3MeLd7QpeGHoZJcMYGo-Y-fyCtasjKl_q]	 Status: [Existing]
[Tue Jan 26 18:17:23 2016]	[client: 49.149.55.53] [file: core.class.php] - [Device ID: E89F27E7-F68A-4AB7-ACEE-16935807DABA, Platform: ios, PUSH ID: e0d7402a4d3117ce110c5b520ba7d922518a2abb07d8c07a70f6f949f2f3cd40]	 Status: [Success]
[Tue Jan 26 19:30:22 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: c397497bfc10cd37, Platform: android, PUSH ID: APA91bH1z8llGyFnu1CdJsjLqbTtsIrOB9xWVR6cnnyvNvxMaQZgapHpKf2bIDo69qLXTl4eJ7WksybI8VICG4enlsMwIXkKmVbBSVhbTGxFNXgQiuxEkhCYTMDFjmTYns6vjJjmxmQR]	 Status: [Success]
[Tue Jan 26 19:30:23 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: c397497bfc10cd37, Platform: android, PUSH ID: APA91bH1z8llGyFnu1CdJsjLqbTtsIrOB9xWVR6cnnyvNvxMaQZgapHpKf2bIDo69qLXTl4eJ7WksybI8VICG4enlsMwIXkKmVbBSVhbTGxFNXgQiuxEkhCYTMDFjmTYns6vjJjmxmQR]	 Status: [Existing]
[Tue Jan 26 19:30:31 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: ff8714a0d3b11b1f, Platform: android, PUSH ID: APA91bGnIs5cVcCLLsshuxwnmEx_VElfo03H3Q-qunUAcugU485y1Sj2_1yTz9UXHvW273ira6Gh8vkrzAtQEeTfqzj9yHymSLUFXkjmT6Ee7wAp1k0iUwUXMZWq_DrlOj5HxaWY5uVz]	 Status: [Success]
[Tue Jan 26 19:30:31 2016]	[client: 112.208.32.15] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: ff8714a0d3b11b1f, Platform: android, PUSH ID: APA91bGnIs5cVcCLLsshuxwnmEx_VElfo03H3Q-qunUAcugU485y1Sj2_1yTz9UXHvW273ira6Gh8vkrzAtQEeTfqzj9yHymSLUFXkjmT6Ee7wAp1k0iUwUXMZWq_DrlOj5HxaWY5uVz]
[Tue Jan 26 19:31:41 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: a6680838ed835535, Platform: android, PUSH ID: APA91bHa-DJJiTZC1ODfBz-v7yoUmFXx3FIGCrc_EuWhZo-KL0KEz7fk-4zl2FYrun3xlQqqQir-i80Hm3BdBHJtN82no_wGbWe2ePdM9_6Mh17ACBentr47eqv7YcE1WnaR50mGUt9-]	 Status: [Success]
[Tue Jan 26 19:31:41 2016]	[client: 112.208.32.15] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a6680838ed835535, Platform: android, PUSH ID: APA91bHa-DJJiTZC1ODfBz-v7yoUmFXx3FIGCrc_EuWhZo-KL0KEz7fk-4zl2FYrun3xlQqqQir-i80Hm3BdBHJtN82no_wGbWe2ePdM9_6Mh17ACBentr47eqv7YcE1WnaR50mGUt9-]
[Tue Jan 26 19:33:53 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: e7b3d90d151e95bb, Platform: android, PUSH ID: APA91bHy9NadKlRDjR6RIraSE45FkqCqe9zJjgNjc2QQ9D8Mkk1NvTgAW9rlOsP9cGcBjAo9zgdoOcbBSkPhdXzahE5XUA_wgDiacj22zqSUT4Ppgr7WArOQjwW405ZHzY6gcbUGyvkc]	 Status: [Success]
[Tue Jan 26 19:33:54 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: e7b3d90d151e95bb, Platform: android, PUSH ID: APA91bHy9NadKlRDjR6RIraSE45FkqCqe9zJjgNjc2QQ9D8Mkk1NvTgAW9rlOsP9cGcBjAo9zgdoOcbBSkPhdXzahE5XUA_wgDiacj22zqSUT4Ppgr7WArOQjwW405ZHzY6gcbUGyvkc]	 Status: [Existing]
[Tue Jan 26 19:34:07 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: e1f5f9c4de236709, Platform: android, PUSH ID: APA91bHtr1Y6dC58A7O6lnkbXfPXWoI6C-8otyPwQvTbO05SN-qpkv1MUkQ08wDDRMmJOEGWEGu1K36XR1s8eY1EHYc_qhFbyyOL8TnqX31znvp7jbDgolwlTVabVccjCzvKBQU8ZfhW]	 Status: [Success]
[Tue Jan 26 19:34:08 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: e1f5f9c4de236709, Platform: android, PUSH ID: APA91bHtr1Y6dC58A7O6lnkbXfPXWoI6C-8otyPwQvTbO05SN-qpkv1MUkQ08wDDRMmJOEGWEGu1K36XR1s8eY1EHYc_qhFbyyOL8TnqX31znvp7jbDgolwlTVabVccjCzvKBQU8ZfhW]	 Status: [Existing]
[Tue Jan 26 20:38:35 2016]	[client: 180.190.91.219] [file: core.class.php] - [Device ID: 793C1BC7-C3C5-4784-BFDF-4A5B27973C69, Platform: ios, PUSH ID: b5ccf6675247555a38691735d724df1138805689c560b55554bb090f8e93c09e]	 Status: [Success]
[Tue Jan 26 21:50:43 2016]	[client: 112.198.98.252] [file: core.class.php] - [Device ID: 25CB356B-3D53-4C61-9D59-EEEA586D4976, Platform: ios, PUSH ID: 69e23f1a7e5da5d0c1d1a9c45e9e2a51c8cbc88e8253d285861935d692984f01]	 Status: [Success]
