[Thu Jan 28 11:48:28 2016]	[client: 112.198.78.247] [file: core.class.php] - [Device ID: 176C2B75-2FE4-4CCF-B8D5-B3EF0C04E44B, Platform: ios, PUSH ID: 17bbbcd3330b44bc569ac5b8ea1e20988b936d14cc5ab82bd7d37a951ec653e9]	 Status: [Success]
[Thu Jan 28 16:20:04 2016]	[client: 124.83.13.105] [file: core.class.php] - [Device ID: E74B7D22-FF84-4C10-80C5-07FCBA3E530E, Platform: ios, PUSH ID: 4882057da5b7bd2b7c1c553d0d0cd35fe219b0f11bc3ffad6984ed8770c47be4]	 Status: [Success]
[Thu Jan 28 19:11:55 2016]	[client: 112.198.83.69] [file: core.class.php] - [Device ID: b49cfb1cbe97526b, Platform: android, PUSH ID: APA91bEmDi43VuzffuDLfLdaO5eDArLfJlSDLxj6eejIWE3hlwHG5JdDcq7zcHElq2iQhSs4lhIzWH0thpD183e1w7Y6tgXN82z03U4CyVDIVX4SbTmrFhNM0cQWxB7sMltuMhLkezbD]	 Status: [Success]
[Thu Jan 28 19:11:55 2016]	[client: 112.198.83.69] [file: core.class.php] - [Device ID: b49cfb1cbe97526b, Platform: android, PUSH ID: APA91bHupQhgsPGggSlxBLVhW5dVAz_ttItlNRSliCLYX3CBpGc9iWqHFZHhR_zhVOfxadWcKpAc0yY7gUxcRpHmHhUQiq5RkyhzwMHiaegIG22S7U6iwgTn1G5W-gZKavchGcHmZvJ0]	 Status: [Existing]
[Thu Jan 28 19:32:23 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 14dc0af7fb238650, Platform: android, PUSH ID: APA91bGm3RtTDX4vZOGcpLBli6Hcn17zCNgLI35g5j82F03jpkoye4F6xUMcU2hU62xmsjnbuEiWfEouS0SC6rEoTAWMdHaZj8xbz10iL9BcLYlSE07_8wFdXV72AXTWP0w_uPAB2ard]	 Status: [Success]
[Thu Jan 28 19:32:24 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 14dc0af7fb238650, Platform: android, PUSH ID: APA91bGm3RtTDX4vZOGcpLBli6Hcn17zCNgLI35g5j82F03jpkoye4F6xUMcU2hU62xmsjnbuEiWfEouS0SC6rEoTAWMdHaZj8xbz10iL9BcLYlSE07_8wFdXV72AXTWP0w_uPAB2ard]	 Status: [Existing]
[Thu Jan 28 19:32:43 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9123f6186c10362, Platform: android, PUSH ID: APA91bE0Fvy4W1wkYsuEzniEXfFaU_RJHsob3PTWV5pYhwjeldXnVezaEHd-oSmAjuhHBfAqlIH2bXIz0Xr7Why4UevQQzJE2rFLu5SvcSUshP5rMRd9vBK_7_oMP_KloSzVn7ox6TdU]	 Status: [Success]
[Thu Jan 28 19:32:44 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9123f6186c10362, Platform: android, PUSH ID: APA91bE0Fvy4W1wkYsuEzniEXfFaU_RJHsob3PTWV5pYhwjeldXnVezaEHd-oSmAjuhHBfAqlIH2bXIz0Xr7Why4UevQQzJE2rFLu5SvcSUshP5rMRd9vBK_7_oMP_KloSzVn7ox6TdU]	 Status: [Existing]
[Thu Jan 28 19:37:57 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9123f6186c10362, Platform: android, PUSH ID: APA91bE0Fvy4W1wkYsuEzniEXfFaU_RJHsob3PTWV5pYhwjeldXnVezaEHd-oSmAjuhHBfAqlIH2bXIz0Xr7Why4UevQQzJE2rFLu5SvcSUshP5rMRd9vBK_7_oMP_KloSzVn7ox6TdU]	 Status: [Existing]
[Thu Jan 28 19:37:57 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 9123f6186c10362, Platform: android, PUSH ID: APA91bE0Fvy4W1wkYsuEzniEXfFaU_RJHsob3PTWV5pYhwjeldXnVezaEHd-oSmAjuhHBfAqlIH2bXIz0Xr7Why4UevQQzJE2rFLu5SvcSUshP5rMRd9vBK_7_oMP_KloSzVn7ox6TdU]	 Status: [Existing]
[Thu Jan 28 19:40:55 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 588d7de350f55b79, Platform: android, PUSH ID: APA91bGhd-OJPhOWD3achgGqiC0t--c6TW-Z-bQ9OipaW9W_5EIeBWHTce_lZIHCWVreLl1bbWjxNrFPkmRBu_VLYdWa1ig8_9NCbaMaNa7T7T1j8A8Bk64qljVBI-eD7P2P8d_Xqxb9]	 Status: [Success]
