[Fri Jan 29 09:15:23 2016]	[client: 222.127.94.12] [file: core.class.php] - [Device ID: 588d7de350f55b79, Platform: android, PUSH ID: APA91bGhd-OJPhOWD3achgGqiC0t--c6TW-Z-bQ9OipaW9W_5EIeBWHTce_lZIHCWVreLl1bbWjxNrFPkmRBu_VLYdWa1ig8_9NCbaMaNa7T7T1j8A8Bk64qljVBI-eD7P2P8d_Xqxb9]	 Status: [Existing]
[Fri Jan 29 09:15:24 2016]	[client: 222.127.94.11] [file: core.class.php] - [Device ID: 588d7de350f55b79, Platform: android, PUSH ID: APA91bGhd-OJPhOWD3achgGqiC0t--c6TW-Z-bQ9OipaW9W_5EIeBWHTce_lZIHCWVreLl1bbWjxNrFPkmRBu_VLYdWa1ig8_9NCbaMaNa7T7T1j8A8Bk64qljVBI-eD7P2P8d_Xqxb9]	 Status: [Existing]
[Fri Jan 29 09:54:37 2016]	[client: 112.198.83.117] [file: core.class.php] - [Device ID: 565bf8cc393bcb6b, Platform: android, PUSH ID: APA91bEqFOWQKDsSYJU9tH5vJrXo0vaH7GsnFP5bn3g7LETsdR3ClIiPWNo6hktPNNXIiahchQNwuTW3Y2lTKPRGZ1qpnCcd5Zx9SM-WLxHG8Ga2BdHg5_2rDploGr4jrMIzum0W3LZB]	 Status: [Success]
[Fri Jan 29 09:54:37 2016]	[client: 112.198.83.117] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 565bf8cc393bcb6b, Platform: android, PUSH ID: APA91bEqFOWQKDsSYJU9tH5vJrXo0vaH7GsnFP5bn3g7LETsdR3ClIiPWNo6hktPNNXIiahchQNwuTW3Y2lTKPRGZ1qpnCcd5Zx9SM-WLxHG8Ga2BdHg5_2rDploGr4jrMIzum0W3LZB]
[Fri Jan 29 09:56:29 2016]	[client: 112.198.83.252] [file: core.class.php] - [Device ID: 5c9fac0b2c499037, Platform: android, PUSH ID: APA91bFqCPFYWIjL-4T-N5_ut5s2dEFH9TXlK3TDmfK3Ude5FAzdLBVYLu00A-RgbGHfKVDk876sqU_TIsuUgwZVSQmgn2qJk8n5h9ibHMBus3C1kUG_Cf9ERNO2Iy3uCLE8agZiD0f_]	 Status: [Success]
[Fri Jan 29 09:56:30 2016]	[client: 112.198.83.252] [file: core.class.php] - [Device ID: 5c9fac0b2c499037, Platform: android, PUSH ID: APA91bFqCPFYWIjL-4T-N5_ut5s2dEFH9TXlK3TDmfK3Ude5FAzdLBVYLu00A-RgbGHfKVDk876sqU_TIsuUgwZVSQmgn2qJk8n5h9ibHMBus3C1kUG_Cf9ERNO2Iy3uCLE8agZiD0f_]	 Status: [Existing]
[Fri Jan 29 09:58:32 2016]	[client: 119.95.49.166] [file: core.class.php] - [Device ID: d4ad1413291af42, Platform: android, PUSH ID: APA91bEux56oEzZMyZvK5Z20O4nVUXGx7j4QMBeg8sKRQ70sBrRjUOWJtAkCqtONkD9n9tzXECyFprKRK2cRCg-im_mJmPxtq8qnDI98ZRDborgthFz8DHe3MKvWLZIC0YuqlXxbVqzR]	 Status: [Success]
[Fri Jan 29 09:58:32 2016]	[client: 119.95.49.166] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: d4ad1413291af42, Platform: android, PUSH ID: APA91bEux56oEzZMyZvK5Z20O4nVUXGx7j4QMBeg8sKRQ70sBrRjUOWJtAkCqtONkD9n9tzXECyFprKRK2cRCg-im_mJmPxtq8qnDI98ZRDborgthFz8DHe3MKvWLZIC0YuqlXxbVqzR]
[Fri Jan 29 09:59:00 2016]	[client: 119.95.49.166] [file: core.class.php] - [Device ID: 74b130c5c9ca0834, Platform: android, PUSH ID: APA91bGvnqNWo_dqAvYMD1UmeSHASAnWRGRQ3DQvwRvBPPjhumjl8J0gca6M7UotnhQYbGZ1YZGE_HsAWq9MB95AUK2nFVmc1K01b24A089X0DwgJ7DvXjrhxb8va-O_b7oo-nVgqI3N]	 Status: [Success]
[Fri Jan 29 09:59:00 2016]	[client: 119.95.49.166] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 74b130c5c9ca0834, Platform: android, PUSH ID: APA91bGvnqNWo_dqAvYMD1UmeSHASAnWRGRQ3DQvwRvBPPjhumjl8J0gca6M7UotnhQYbGZ1YZGE_HsAWq9MB95AUK2nFVmc1K01b24A089X0DwgJ7DvXjrhxb8va-O_b7oo-nVgqI3N]
[Fri Jan 29 10:01:21 2016]	[client: 112.198.83.252] [file: core.class.php] - [Device ID: 5c9fac0b2c499037, Platform: android, PUSH ID: APA91bFqCPFYWIjL-4T-N5_ut5s2dEFH9TXlK3TDmfK3Ude5FAzdLBVYLu00A-RgbGHfKVDk876sqU_TIsuUgwZVSQmgn2qJk8n5h9ibHMBus3C1kUG_Cf9ERNO2Iy3uCLE8agZiD0f_]	 Status: [Existing]
