[Sat Jan 30 00:14:28 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: f94ca1544e058e86, Platform: android, PUSH ID: APA91bGztQz2si103t9_fBr_7JDx1-IttBfaXsMTP7yynQvCB9fk5IRBDwZEl_w4wu6lbTG8c7ZDws39Eqx_fmiBBVYaxTB9mVVLefBOcFlRHfJvNJFUmGRACPAlYSbGae5riAVGTiPX]	 Status: [Success]
[Sat Jan 30 00:14:29 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: f94ca1544e058e86, Platform: android, PUSH ID: APA91bGztQz2si103t9_fBr_7JDx1-IttBfaXsMTP7yynQvCB9fk5IRBDwZEl_w4wu6lbTG8c7ZDws39Eqx_fmiBBVYaxTB9mVVLefBOcFlRHfJvNJFUmGRACPAlYSbGae5riAVGTiPX]	 Status: [Existing]
[Sat Jan 30 00:14:59 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: 3B07DBE8-3531-46A0-BC42-BECF4EAF1169, Platform: ios, PUSH ID: 393058a95a4e73187cdd07eff0c59cfa388ef920e82de2d1101d3724cf6fc49c]	 Status: [Success]
[Sat Jan 30 00:33:22 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: f94ca1544e058e86, Platform: android, PUSH ID: APA91bGztQz2si103t9_fBr_7JDx1-IttBfaXsMTP7yynQvCB9fk5IRBDwZEl_w4wu6lbTG8c7ZDws39Eqx_fmiBBVYaxTB9mVVLefBOcFlRHfJvNJFUmGRACPAlYSbGae5riAVGTiPX]	 Status: [Existing]
[Sat Jan 30 00:33:23 2016]	[client: 112.208.30.38] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: f94ca1544e058e86, Platform: android, PUSH ID: APA91bGztQz2si103t9_fBr_7JDx1-IttBfaXsMTP7yynQvCB9fk5IRBDwZEl_w4wu6lbTG8c7ZDws39Eqx_fmiBBVYaxTB9mVVLefBOcFlRHfJvNJFUmGRACPAlYSbGae5riAVGTiPX]
[Sat Jan 30 00:41:33 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: c7a3b64fcceb2ba, Platform: android, PUSH ID: APA91bGY-UpC-Im8kHeG5o2UAT5DWMBIziPU1UJ3-V_v2-ZGeTU2EH16PsX6aLSovyalfawM03WBzB3mjV8X8WAth3zawLi29dR2mBWASIVU-GHAhJd3LmQYCco4BjQFzBxCjsxAlkSH]	 Status: [Success]
[Sat Jan 30 00:41:33 2016]	[client: 112.208.30.38] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: c7a3b64fcceb2ba, Platform: android, PUSH ID: APA91bGY-UpC-Im8kHeG5o2UAT5DWMBIziPU1UJ3-V_v2-ZGeTU2EH16PsX6aLSovyalfawM03WBzB3mjV8X8WAth3zawLi29dR2mBWASIVU-GHAhJd3LmQYCco4BjQFzBxCjsxAlkSH]
[Sat Jan 30 01:04:50 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: A3E07ABF-ED33-4A7E-8BA8-2D5332154005, Platform: ios, PUSH ID: 23ad6de0d3f997103c6ddf46a4a3179b911611f00a28044e6c3a882b08e6f4a5]	 Status: [Success]
[Sat Jan 30 16:16:45 2016]	[client: 112.198.98.236] [file: core.class.php] - [Device ID: b1f3349405712b87, Platform: android, PUSH ID: APA91bHamU1Fo42syVOTXIdmR0hvVuFZTOr0iCMArMOcy8QVza3Q0ITrIe-cBS55XHkiW5xsf98rD3He0c8nDSmlG_L8oyXmhnhA868pLT_U_sA6Y-oEgavcud5G1HUo56v3hlfxVp6O]	 Status: [Existing]
[Sat Jan 30 16:16:46 2016]	[client: 112.198.98.236] [file: core.class.php] - [Device ID: b1f3349405712b87, Platform: android, PUSH ID: APA91bHamU1Fo42syVOTXIdmR0hvVuFZTOr0iCMArMOcy8QVza3Q0ITrIe-cBS55XHkiW5xsf98rD3He0c8nDSmlG_L8oyXmhnhA868pLT_U_sA6Y-oEgavcud5G1HUo56v3hlfxVp6O]	 Status: [Existing]
[Sat Jan 30 16:34:35 2016]	[client: 49.148.14.124] [file: core.class.php] - [Device ID: 6dc0f364b9bd1042, Platform: android, PUSH ID: APA91bFm4KzLVz1uoVvi0pxLSzrD6qkpR0ii7NdE1yrMoMU8KV_LoyUPVu8I-a3N3B0cnzDhZMjWtqN0kbrVjAA684_plu_kXtNIGRzJZO9XccOcahafVGYVQQftLxCgrglb0yK-jPLJ]	 Status: [Success]
[Sat Jan 30 16:34:35 2016]	[client: 49.148.14.124] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 6dc0f364b9bd1042, Platform: android, PUSH ID: APA91bFm4KzLVz1uoVvi0pxLSzrD6qkpR0ii7NdE1yrMoMU8KV_LoyUPVu8I-a3N3B0cnzDhZMjWtqN0kbrVjAA684_plu_kXtNIGRzJZO9XccOcahafVGYVQQftLxCgrglb0yK-jPLJ]
