[Mon Feb 01 09:48:59 2016]	[client: 121.54.54.173] [file: core.class.php] - [Device ID: 2bd36e45b267fa34, Platform: android, PUSH ID: APA91bGxele6UPxGs3uBdqexUnHqgWNi7JGLEnxUGAiNN4uHnDxBVWpm4nvI2KC8qcDumi8zw1S4a_KVg41zCiWEJcEQ1mviF5UZxGua9buVOMcdAQSorOJlB8JXaGakIbP0O67S2bpV]	 Status: [Existing]
[Mon Feb 01 09:49:05 2016]	[client: 121.54.54.173] [file: core.class.php] - [Device ID: 2bd36e45b267fa34, Platform: android, PUSH ID: APA91bGxele6UPxGs3uBdqexUnHqgWNi7JGLEnxUGAiNN4uHnDxBVWpm4nvI2KC8qcDumi8zw1S4a_KVg41zCiWEJcEQ1mviF5UZxGua9buVOMcdAQSorOJlB8JXaGakIbP0O67S2bpV]	 Status: [Existing]
[Mon Feb 01 13:45:24 2016]	[client: 112.201.233.5] [file: core.class.php] - [Device ID: c7e8b2ed52a2ce2e, Platform: android, PUSH ID: APA91bEJ_A6YhiPnATlkNQUKbI7esvAQGqp8n09jrgGAI5xz9LjdBaygdphC3Lqev8b6meGIFhEjlOkQevl2bpBm5xfIIa1141qXaIvxGoPgLq6WJWOkyjBETjYwhG83ts7TbAlpe70J]	 Status: [Success]
[Mon Feb 01 13:45:24 2016]	[client: 112.201.233.5] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: c7e8b2ed52a2ce2e, Platform: android, PUSH ID: APA91bEJ_A6YhiPnATlkNQUKbI7esvAQGqp8n09jrgGAI5xz9LjdBaygdphC3Lqev8b6meGIFhEjlOkQevl2bpBm5xfIIa1141qXaIvxGoPgLq6WJWOkyjBETjYwhG83ts7TbAlpe70J]
[Mon Feb 01 13:59:06 2016]	[client: 49.144.231.75] [file: core.class.php] - [Device ID: d4a69df73e849618, Platform: android, PUSH ID: APA91bGmebLWPylNUpfEld_qP2EEHOjdkyD7ZXUUUct4wZB29XqHPBkztjfdbeWywRPEQRTsrB7kACaZVOUJ1EEPz1t0Sen1xrCqH0CsHRD-kX-wcA_y0m3HVC23hwWiCO0NzPjd_GQj]	 Status: [Existing]
[Mon Feb 01 13:59:07 2016]	[client: 49.144.231.75] [file: core.class.php] - [Device ID: d4a69df73e849618, Platform: android, PUSH ID: APA91bGmebLWPylNUpfEld_qP2EEHOjdkyD7ZXUUUct4wZB29XqHPBkztjfdbeWywRPEQRTsrB7kACaZVOUJ1EEPz1t0Sen1xrCqH0CsHRD-kX-wcA_y0m3HVC23hwWiCO0NzPjd_GQj]	 Status: [Existing]
[Mon Feb 01 14:00:03 2016]	[client: 112.201.233.5] [file: core.class.php] - [Device ID: 026DDD4F-EAC6-45AF-8834-229CE191FD7D, Platform: ios, PUSH ID: c527ece22468d72ad3e4cc49eb6589fc7e14102329ea42ae50f94e416a0db9b7]	 Status: [Success]
[Mon Feb 01 14:22:06 2016]	[client: 49.144.231.75] [file: core.class.php] - [Device ID: 755905EC-3FD2-45D6-8731-7581065C004F, Platform: ios, PUSH ID: 8752900111f57cd45141b81f629bc857e68750d4f5fa161aa8fd40d1ac224a87]	 Status: [Success]
[Mon Feb 01 16:12:59 2016]	[client: 121.54.32.172] [file: core.class.php] - [Device ID: 48ec5fca839e8c59, Platform: android, PUSH ID: APA91bEV6AlwbFZaA-15WiJFZrCSVv1HCdi9ocNIkYFAFDoL7qo3KMruhzYQ0GZK2dR1-QxFFFlx4axj_ANsURabmGKSh4WNSLossAuoM0GYpGD6_k6aiH9sIhTaXErfYpkXdU6vg1xO]	 Status: [Success]
[Mon Feb 01 16:12:59 2016]	[client: 121.54.32.172] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 48ec5fca839e8c59, Platform: android, PUSH ID: APA91bEV6AlwbFZaA-15WiJFZrCSVv1HCdi9ocNIkYFAFDoL7qo3KMruhzYQ0GZK2dR1-QxFFFlx4axj_ANsURabmGKSh4WNSLossAuoM0GYpGD6_k6aiH9sIhTaXErfYpkXdU6vg1xO]
[Mon Feb 01 16:18:23 2016]	[client: 121.54.32.165] [file: core.class.php] - [Device ID: 48ec5fca839e8c59, Platform: android, PUSH ID: APA91bEV6AlwbFZaA-15WiJFZrCSVv1HCdi9ocNIkYFAFDoL7qo3KMruhzYQ0GZK2dR1-QxFFFlx4axj_ANsURabmGKSh4WNSLossAuoM0GYpGD6_k6aiH9sIhTaXErfYpkXdU6vg1xO]	 Status: [Existing]
[Mon Feb 01 16:18:24 2016]	[client: 121.54.32.165] [file: core.class.php] - [Device ID: 48ec5fca839e8c59, Platform: android, PUSH ID: APA91bEV6AlwbFZaA-15WiJFZrCSVv1HCdi9ocNIkYFAFDoL7qo3KMruhzYQ0GZK2dR1-QxFFFlx4axj_ANsURabmGKSh4WNSLossAuoM0GYpGD6_k6aiH9sIhTaXErfYpkXdU6vg1xO]	 Status: [Existing]
[Mon Feb 01 18:24:22 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Success]
[Mon Feb 01 18:24:22 2016]	[client: 124.107.17.114] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]
[Mon Feb 01 18:28:27 2016]	[client: 112.198.102.150] [file: core.class.php] - [Device ID: 5285002ccdde9cbe, Platform: android, PUSH ID: APA91bF0pqbap-6HMRiZsrSJ_5HHmAxDDXKA0ZlKMa86unG2nHfXdmlUMS-c9Tr6vHOX_8q2EOxgdmBATPDqCvpP1XaCOgkMrMIzzGT4GFTgDVZY2UWI83MQcfyX7DBGHXMwECae5QQ8]	 Status: [Success]
[Mon Feb 01 18:28:28 2016]	[client: 112.198.102.150] [file: core.class.php] - [Device ID: 5285002ccdde9cbe, Platform: android, PUSH ID: APA91bFkd91iOzNYvpjF9AaTdaCEQPvrU6pZa9l8ON11Nw7dG3EjJTd1tGoV4W5BS71hUTBeaRY42MF12W31sYLBB86zSGvJuzUu75TlaY0OxENuFIxwtMm4jaYC1KNBd_N_QYQlDuGe]	 Status: [Existing]
[Mon Feb 01 18:29:39 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
