[Tue Feb 02 19:11:28 2016]	[client: 112.208.69.42] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:11:42 2016]	[client: 112.208.69.42] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:15:53 2016]	[client: 119.95.131.18] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:16:29 2016]	[client: 119.95.131.18] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:16:39 2016]	[client: 119.95.131.18] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:24:16 2016]	[client: 119.95.131.18] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:24:30 2016]	[client: 119.95.131.18] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:24:42 2016]	[client: 119.95.131.18] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 19:24:52 2016]	[client: 119.95.131.18] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Tue Feb 02 22:00:20 2016]	[client: 180.191.139.98] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
[Tue Feb 02 22:00:21 2016]	[client: 180.191.139.98] [file: points.class.php] - Device ID: [d7c53c40306eb114]	 Status: [Success]	 Response : [True]
