[Wed Feb 03 00:10:00 2016]	[client: 121.54.54.148] [file: core.class.php] - [Device ID: 48ec5fca839e8c59, Platform: android, PUSH ID: APA91bEV6AlwbFZaA-15WiJFZrCSVv1HCdi9ocNIkYFAFDoL7qo3KMruhzYQ0GZK2dR1-QxFFFlx4axj_ANsURabmGKSh4WNSLossAuoM0GYpGD6_k6aiH9sIhTaXErfYpkXdU6vg1xO]	 Status: [Existing]
[Wed Feb 03 00:10:02 2016]	[client: 121.54.54.148] [file: core.class.php] - [Device ID: 48ec5fca839e8c59, Platform: android, PUSH ID: APA91bEV6AlwbFZaA-15WiJFZrCSVv1HCdi9ocNIkYFAFDoL7qo3KMruhzYQ0GZK2dR1-QxFFFlx4axj_ANsURabmGKSh4WNSLossAuoM0GYpGD6_k6aiH9sIhTaXErfYpkXdU6vg1xO]	 Status: [Existing]
[Wed Feb 03 04:00:29 2016]	[client: 180.191.154.70] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Wed Feb 03 04:00:30 2016]	[client: 180.191.154.70] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Wed Feb 03 04:05:27 2016]	[client: 180.191.154.70] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Wed Feb 03 04:05:28 2016]	[client: 180.191.154.70] [file: core.class.php] - [Device ID: b19f6597e93ae0d1, Platform: android, PUSH ID: APA91bEIPNeOx6xGVLfbrPDAA2KyxxPd2XMjfFWK1Sn6s2Sb8lYCZaV5R-AseAr-M4TnKWLV5-doFzBIGABIvB2FttKYzPX9_4Rw-R6lcIvJ9dfDjDITgc95-nysUkLY-p9AFtB6zHDO]	 Status: [Existing]
[Wed Feb 03 08:07:13 2016]	[client: 49.144.20.190] [file: core.class.php] - [Device ID: eda5d254c9da95e4, Platform: android, PUSH ID: APA91bF6shbkBk5r8nnuXcAl4l36WlNaYug4EgGouv9yM4bkBToecj0L2YxEDn_5xzvzt9N_HcztLCzpyuxf8qrba5OwRK4QL83ZY1RlYmPeea-nvRofvBW0_GhICX9-RVcVIuUF2C3N]	 Status: [Existing]
[Wed Feb 03 08:07:13 2016]	[client: 49.144.20.190] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: eda5d254c9da95e4, Platform: android, PUSH ID: APA91bF6shbkBk5r8nnuXcAl4l36WlNaYug4EgGouv9yM4bkBToecj0L2YxEDn_5xzvzt9N_HcztLCzpyuxf8qrba5OwRK4QL83ZY1RlYmPeea-nvRofvBW0_GhICX9-RVcVIuUF2C3N]
[Wed Feb 03 09:05:57 2016]	[client: 112.198.90.1] [file: core.class.php] - [Device ID: A74F4BE6-68B4-4898-B92D-7E2945D694C2, Platform: ios, PUSH ID: 993605a066446319cc3909bbf22625dabfaff179d3d2f7f1986451a6e3947619]	 Status: [Success]
[Wed Feb 03 09:50:57 2016]	[client: 112.198.83.153] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Wed Feb 03 09:50:57 2016]	[client: 112.198.83.153] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Wed Feb 03 10:02:24 2016]	[client: 49.147.63.79] [file: core.class.php] - [Device ID: E15F0F9A-D236-4FD2-85C1-942DE8A344AA, Platform: ios, PUSH ID: 0cb862f6df510c30d67129b4f0c9763412a75b057da122f2d23791e08bb4e843]	 Status: [Success]
[Wed Feb 03 12:11:17 2016]	[client: 112.198.75.250] [file: core.class.php] - [Device ID: f7aab32e2d5c2bcf, Platform: android, PUSH ID: APA91bGQ1zBD6q0QAQI4rUlAzjvdjJBf1yHJs8XhOmh99if2Jaoj3MWO2dd51jRjWdvZ-B6nsjC7O2rpOrGZ_I68ZFBXVKCVcngOTZqEjyT-UdDK886tmRnyt1KzISKA5naTeOOPRvsx]	 Status: [Success]
[Wed Feb 03 12:11:17 2016]	[client: 112.198.75.250] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: f7aab32e2d5c2bcf, Platform: android, PUSH ID: APA91bGQ1zBD6q0QAQI4rUlAzjvdjJBf1yHJs8XhOmh99if2Jaoj3MWO2dd51jRjWdvZ-B6nsjC7O2rpOrGZ_I68ZFBXVKCVcngOTZqEjyT-UdDK886tmRnyt1KzISKA5naTeOOPRvsx]
[Wed Feb 03 12:27:24 2016]	[client: 49.144.214.6] [file: core.class.php] - [Device ID: d6da773ab2c7390, Platform: android, PUSH ID: APA91bEbs9IL6uLBgj8MCe5hqATl8uxIQt6X8E-D_wu34teRkwpgRZrBOodamFWvCyrToNQ091Bj4YiSAw1OstLAr5epR1glfrCETzxbzoxXztk24yK0gqydfGlNVYF3lDhGvVA3r0fp]	 Status: [Existing]
[Wed Feb 03 12:27:24 2016]	[client: 49.144.214.6] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: d6da773ab2c7390, Platform: android, PUSH ID: APA91bEbs9IL6uLBgj8MCe5hqATl8uxIQt6X8E-D_wu34teRkwpgRZrBOodamFWvCyrToNQ091Bj4YiSAw1OstLAr5epR1glfrCETzxbzoxXztk24yK0gqydfGlNVYF3lDhGvVA3r0fp]
[Wed Feb 03 13:34:27 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Wed Feb 03 13:34:27 2016]	[client: 180.191.139.19] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]
[Wed Feb 03 13:39:26 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: a4f554803b3c8eab, Platform: android, PUSH ID: APA91bHYjJ7ahld5Wo_EznvxOwCb0_2dwxvZjpT1JzRLoRyczzGGahJOxpcDnXkJZMJJsSpdR-ggs5eP4xfjT8V82vha3kxAmfKrqQtwpjNiuRrspxrwu58CgkyG9sI92LoIFaZnwmkt]	 Status: [Success]
[Wed Feb 03 13:39:26 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: a4f554803b3c8eab, Platform: android, PUSH ID: APA91bHYjJ7ahld5Wo_EznvxOwCb0_2dwxvZjpT1JzRLoRyczzGGahJOxpcDnXkJZMJJsSpdR-ggs5eP4xfjT8V82vha3kxAmfKrqQtwpjNiuRrspxrwu58CgkyG9sI92LoIFaZnwmkt]	 Status: [Existing]
