[Thu Feb 04 00:56:52 2016]	[client: 110.55.1.28] [file: core.class.php] - [Device ID: d4d837fa7a5225e2, Platform: android, PUSH ID: APA91bEtjCsmaExoo9gRWudmtdcIRFKh1vN2t5xuOGww5cyrx1UZz-vAv9NR--9S1ZHw9nH_2FyedjaEVor-hkSGpexsKpeNm_IFOE_V0jNuNAxDx_GnqcqzAwHjlh0PQnTDrWEkKsxC]	 Status: [Success]
[Thu Feb 04 00:56:52 2016]	[client: 110.55.1.28] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: d4d837fa7a5225e2, Platform: android, PUSH ID: APA91bEtjCsmaExoo9gRWudmtdcIRFKh1vN2t5xuOGww5cyrx1UZz-vAv9NR--9S1ZHw9nH_2FyedjaEVor-hkSGpexsKpeNm_IFOE_V0jNuNAxDx_GnqcqzAwHjlh0PQnTDrWEkKsxC]
[Thu Feb 04 00:57:00 2016]	[client: 110.55.1.28] [file: core.class.php] - [Device ID: d4d837fa7a5225e2, Platform: android, PUSH ID: APA91bEtjCsmaExoo9gRWudmtdcIRFKh1vN2t5xuOGww5cyrx1UZz-vAv9NR--9S1ZHw9nH_2FyedjaEVor-hkSGpexsKpeNm_IFOE_V0jNuNAxDx_GnqcqzAwHjlh0PQnTDrWEkKsxC]	 Status: [Existing]
[Thu Feb 04 00:57:01 2016]	[client: 110.55.1.28] [file: core.class.php] - [Device ID: d4d837fa7a5225e2, Platform: android, PUSH ID: APA91bEtjCsmaExoo9gRWudmtdcIRFKh1vN2t5xuOGww5cyrx1UZz-vAv9NR--9S1ZHw9nH_2FyedjaEVor-hkSGpexsKpeNm_IFOE_V0jNuNAxDx_GnqcqzAwHjlh0PQnTDrWEkKsxC]	 Status: [Existing]
[Thu Feb 04 08:20:16 2016]	[client: 110.55.1.28] [file: core.class.php] - [Device ID: d4d837fa7a5225e2, Platform: android, PUSH ID: APA91bEtjCsmaExoo9gRWudmtdcIRFKh1vN2t5xuOGww5cyrx1UZz-vAv9NR--9S1ZHw9nH_2FyedjaEVor-hkSGpexsKpeNm_IFOE_V0jNuNAxDx_GnqcqzAwHjlh0PQnTDrWEkKsxC]	 Status: [Existing]
[Thu Feb 04 08:20:17 2016]	[client: 110.55.1.28] [file: core.class.php] - [Device ID: d4d837fa7a5225e2, Platform: android, PUSH ID: APA91bEtjCsmaExoo9gRWudmtdcIRFKh1vN2t5xuOGww5cyrx1UZz-vAv9NR--9S1ZHw9nH_2FyedjaEVor-hkSGpexsKpeNm_IFOE_V0jNuNAxDx_GnqcqzAwHjlh0PQnTDrWEkKsxC]	 Status: [Existing]
[Thu Feb 04 08:39:10 2016]	[client: 121.54.54.63] [file: core.class.php] - [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]	 Status: [Existing]
[Thu Feb 04 08:39:11 2016]	[client: 121.54.54.63] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b50ac2702b6b8d64, Platform: android, PUSH ID: APA91bGQg6ur9UbmMzru1IWSZ9FuoKEnHur_zMg8xYmzAuMhY_-k2dDfbfbEJmKJSeBxsdXWsVLdpGdeB1zmaEHLbsgqqXJd81d9-XBDXQ3nANGCvVh8RvDVWvHFS56srJxCWmKqrkL3]
[Thu Feb 04 09:19:27 2016]	[client: 114.108.214.178] [file: core.class.php] - [Device ID: 3d7b5b2ad2a93aef, Platform: android, PUSH ID: APA91bFmKGZ80n5yvlnHi9OiE6W0FCzYw92-x2yr3SjHS1PnJiVAIZ-4r56PqThO4Dq9dU9PUnTzpKkbb1DzqYzXcNfi5P4wYpeowQ2ht8V3MeLd7QpeGHoZJcMYGo-Y-fyCtasjKl_q]	 Status: [Existing]
[Thu Feb 04 09:19:27 2016]	[client: 114.108.214.178] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 3d7b5b2ad2a93aef, Platform: android, PUSH ID: APA91bFmKGZ80n5yvlnHi9OiE6W0FCzYw92-x2yr3SjHS1PnJiVAIZ-4r56PqThO4Dq9dU9PUnTzpKkbb1DzqYzXcNfi5P4wYpeowQ2ht8V3MeLd7QpeGHoZJcMYGo-Y-fyCtasjKl_q]
[Thu Feb 04 09:58:22 2016]	[client: 112.198.101.242] [file: core.class.php] - [Device ID: fed68bf49f6c6bf, Platform: android, PUSH ID: APA91bG4dxAdfJs2tbtvkkyYd_02ISyDjOYZVLPLQPWCGMUBI-0l07QixIVuce-Hw7rCFEbdUwvIOyasBo5pKeo0X5WLx8FdNFmp3SRcrJaqo1hQDZau0kUbpT5QX05z0Q9jaLdYGrwI]	 Status: [Existing]
