[Thu Feb 04 19:14:04 2016]	[client: 112.208.59.251] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 19:14:42 2016]	[client: 112.208.59.251] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 19:46:04 2016]	[client: 112.208.59.251] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 19:46:15 2016]	[client: 112.208.59.251] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 19:57:56 2016]	[client: 112.208.59.251] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 19:58:08 2016]	[client: 112.208.59.251] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:16:25 2016]	[client: 112.208.59.251] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:16:35 2016]	[client: 112.208.59.251] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:20:05 2016]	[client: 112.208.59.251] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:20:14 2016]	[client: 112.208.59.251] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:20:56 2016]	[client: 112.208.59.251] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:21:04 2016]	[client: 112.208.59.251] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:37:19 2016]	[client: 112.208.59.251] [file: core.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
[Thu Feb 04 20:37:29 2016]	[client: 112.208.59.251] [file: points.class.php] - Device ID: [b8ae53d1d862c7fb]	 Status: [Success]	 Response : [True]
