[Fri Feb 05 16:21:30 2016]	[client: 112.211.193.1] [file: core.class.php] - [Device ID: E535B432-D2D7-489F-A084-7234749EC4DF, Platform: ios, PUSH ID: c72fc39e513cf1bb64bb66ddbb029d16b0ce41d81ef8a835a7de016ef6c9a016]	 Status: [Success]
[Fri Feb 05 17:00:51 2016]	[client: 112.211.193.1] [file: core.class.php] - [Device ID: 315801D1-3B02-4B6C-9F80-2E0DB358BBAF, Platform: ios, PUSH ID: 0aaf8ce3eb555ce92fc444f078d16e56a77eb0e016fcc799a7e167c76ff9f68f]	 Status: [Success]
[Fri Feb 05 17:05:10 2016]	[client: 112.208.127.148] [file: core.class.php] - [Device ID: 1a34f0ead2adcf8d, Platform: android, PUSH ID: APA91bHtI-AuU3Up-SjrUwzJswTk8yX9S70FPkUPkEQlbiH-RXSlnKQEROHzE26deh7SIjhUWWjBuBP8xcgylLazOJ5Q_8Imph3Cx4yZGb8vBMXQRwwzATqWANrzNAT-AtOtMulZ3Pbc]	 Status: [Success]
[Fri Feb 05 17:05:11 2016]	[client: 112.208.127.148] [file: core.class.php] - [Device ID: 1a34f0ead2adcf8d, Platform: android, PUSH ID: APA91bHirtaxUs-n75T9yhDLQ5d2zG8Cgv7KgOMsHiNbo9cJfyeW8vUO8U4r3se5pXLOsICOf-kAtLAoG3qFhkbS4oH7jB4xMdywGscTwOqwvFpVk_nN9_KLEKx3zKPC_URnFyGdkkiH]	 Status: [Existing]
[Fri Feb 05 17:08:42 2016]	[client: 112.198.83.21] [file: core.class.php] - [Device ID: 955b3fc2b1cd0c00, Platform: android, PUSH ID: APA91bG--HxCQZ3Ru8mzECfYnXvxFmEK7phLr2JZEcdW8TVvQDQF3kSLvJTswlbgDrwor60lgT93h3-AOArp6g4LXyC-r4DgCjN00oQYjkJxP7VGXYeVdEpbWt5mIsovSZJMWAYsVv0u]	 Status: [Success]
[Fri Feb 05 17:08:43 2016]	[client: 112.198.83.21] [file: core.class.php] - [Device ID: 955b3fc2b1cd0c00, Platform: android, PUSH ID: APA91bG--HxCQZ3Ru8mzECfYnXvxFmEK7phLr2JZEcdW8TVvQDQF3kSLvJTswlbgDrwor60lgT93h3-AOArp6g4LXyC-r4DgCjN00oQYjkJxP7VGXYeVdEpbWt5mIsovSZJMWAYsVv0u]	 Status: [Existing]
[Fri Feb 05 17:08:55 2016]	[client: 112.198.78.252] [file: core.class.php] - [Device ID: a475fbe519785a72, Platform: android, PUSH ID: APA91bF6y-LCtqISoIjB68DOjNpXft_VHPD7z9NU0d5XS_yYt8LeFjQuM8WLFk22-evK8FCKmR76VnPRx8WKm8VpSdOJ1acoeqETGv23o0E5huZhBTiRm1j8FFUZemzNzh5-WhwiqKeu]	 Status: [Success]
[Fri Feb 05 17:08:55 2016]	[client: 112.198.78.252] [file: core.class.php] - [Device ID: a475fbe519785a72, Platform: android, PUSH ID: APA91bFuABryFAA3kaVZCS7LgJHdO5zo5tykz5f8hFaetY5sZICYCyHYazZEdHXi2GKBqj1hqnB4SyeB6dTFdMvL5toba4YlMSZOgwJkNUmywX_5G3n4SiHg27gKalb2ftb_9QEpnl48]	 Status: [Existing]
[Fri Feb 05 17:10:13 2016]	[client: 112.208.127.148] [file: core.class.php] - [Device ID: 1a34f0ead2adcf8d, Platform: android, PUSH ID: APA91bHirtaxUs-n75T9yhDLQ5d2zG8Cgv7KgOMsHiNbo9cJfyeW8vUO8U4r3se5pXLOsICOf-kAtLAoG3qFhkbS4oH7jB4xMdywGscTwOqwvFpVk_nN9_KLEKx3zKPC_URnFyGdkkiH]	 Status: [Existing]
[Fri Feb 05 17:10:14 2016]	[client: 112.208.127.148] [file: core.class.php] - [Device ID: 1a34f0ead2adcf8d, Platform: android, PUSH ID: APA91bHirtaxUs-n75T9yhDLQ5d2zG8Cgv7KgOMsHiNbo9cJfyeW8vUO8U4r3se5pXLOsICOf-kAtLAoG3qFhkbS4oH7jB4xMdywGscTwOqwvFpVk_nN9_KLEKx3zKPC_URnFyGdkkiH]	 Status: [Existing]
[Fri Feb 05 17:16:05 2016]	[client: 112.208.127.148] [file: core.class.php] - [Device ID: 1a34f0ead2adcf8d, Platform: android, PUSH ID: APA91bHirtaxUs-n75T9yhDLQ5d2zG8Cgv7KgOMsHiNbo9cJfyeW8vUO8U4r3se5pXLOsICOf-kAtLAoG3qFhkbS4oH7jB4xMdywGscTwOqwvFpVk_nN9_KLEKx3zKPC_URnFyGdkkiH]	 Status: [Existing]
[Fri Feb 05 17:16:06 2016]	[client: 112.208.127.148] [file: core.class.php] - [Device ID: 1a34f0ead2adcf8d, Platform: android, PUSH ID: APA91bHirtaxUs-n75T9yhDLQ5d2zG8Cgv7KgOMsHiNbo9cJfyeW8vUO8U4r3se5pXLOsICOf-kAtLAoG3qFhkbS4oH7jB4xMdywGscTwOqwvFpVk_nN9_KLEKx3zKPC_URnFyGdkkiH]	 Status: [Existing]
[Fri Feb 05 17:20:08 2016]	[client: 180.191.143.149] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Fri Feb 05 17:20:08 2016]	[client: 180.191.143.149] [file: core.class.php] - [Device ID: 7ed1820e7bb6e7a7, Platform: android, PUSH ID: APA91bERwyYfvz03iS1HwWBDkE1ACSoC_2Q6pvijHN91EkwYyP9rn2SDMXbwQWuzyJP32s6B2rcjfGvJZ5uBxUx8KEQYt4qjoVaK3rE9Ro8p-8D5dlKUKb1jlQfU9Yc_qcMyaBhkqb6W]	 Status: [Existing]
[Fri Feb 05 17:42:36 2016]	[client: 180.190.91.134] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHaCuevKCqLcuTHqKxUx89_yOFlDwoyY6BLxAKdznfm7AbWVH1JNzcQFF5i4-h2XvgGKKYL2dIYi-8snBktKLtAhTcI3WNNkqO25vLwlR7pEUrytVw2x36BSAQTvG-1QGeqFBre]	 Status: [Success]
[Fri Feb 05 17:48:18 2016]	[client: 180.190.91.134] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 17:48:20 2016]	[client: 180.190.91.134] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 17:49:26 2016]	[client: 180.190.91.134] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 17:49:27 2016]	[client: 180.190.91.134] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 18:03:40 2016]	[client: 120.28.191.6] [file: core.class.php] - [Device ID: 9ba6ee0bbb882180, Platform: android, PUSH ID: APA91bEuzaU8z-o_PZa75tHSOHLlYjtFCYMBE7948lUUCdH0OvzEnjfAxfozbAoe8yWHZttu0ewB2lyRuqOcCvuiMy9KMS-pBw9zTlczUCFwEq-EjX27ntX3zPwnTtyiD9hzkYfFd8rs]	 Status: [Success]
[Fri Feb 05 18:03:41 2016]	[client: 120.28.191.8] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9ba6ee0bbb882180, Platform: android, PUSH ID: APA91bEuzaU8z-o_PZa75tHSOHLlYjtFCYMBE7948lUUCdH0OvzEnjfAxfozbAoe8yWHZttu0ewB2lyRuqOcCvuiMy9KMS-pBw9zTlczUCFwEq-EjX27ntX3zPwnTtyiD9hzkYfFd8rs]
[Fri Feb 05 18:17:43 2016]	[client: 112.204.60.17] [file: core.class.php] - [Device ID: 70A3EF6B-A9BA-496F-97D2-BB76F0F49887, Platform: ios, PUSH ID: a7b9a77a0166455bedb37d0c5f4382b490f21ebe8abb935f4b04aee0dc3a3c6d]	 Status: [Success]
[Fri Feb 05 18:17:56 2016]	[client: 112.204.60.17] [file: core.class.php] - [Device ID: 70A3EF6B-A9BA-496F-97D2-BB76F0F49887, Platform: ios, PUSH ID: a7b9a77a0166455bedb37d0c5f4382b490f21ebe8abb935f4b04aee0dc3a3c6d]	 Status: [Existing]
[Fri Feb 05 18:23:22 2016]	[client: 180.190.91.43] [file: core.class.php] - [Device ID: 86FDF9F6-370F-4785-89F1-24A5E557C5C6, Platform: ios, PUSH ID: cc9db4ea0b53d7c2826ae5c967d4323a06e2680242287ef0e323a9a4dc017922]	 Status: [Success]
[Fri Feb 05 18:24:58 2016]	[client: 112.204.60.17] [file: core.class.php] - [Device ID: b26f389a4db23506, Platform: android, PUSH ID: APA91bGmeGT7TLjdLcwDdURBHMnmjqHh7ALR38iPtiZOdUfiNqkvWis8c7zKrOwRxedxPtjjXOun11wQxZtWYFd3-sKNkVMCg556w97BjPvYuSBJPw8FkuLw5YnaRTHeKZ1PuxtGsWF4]	 Status: [Success]
[Fri Feb 05 18:24:59 2016]	[client: 112.204.60.17] [file: core.class.php] - [Device ID: b26f389a4db23506, Platform: android, PUSH ID: APA91bGmeGT7TLjdLcwDdURBHMnmjqHh7ALR38iPtiZOdUfiNqkvWis8c7zKrOwRxedxPtjjXOun11wQxZtWYFd3-sKNkVMCg556w97BjPvYuSBJPw8FkuLw5YnaRTHeKZ1PuxtGsWF4]	 Status: [Existing]
[Fri Feb 05 18:31:50 2016]	[client: 180.190.91.43] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 18:31:50 2016]	[client: 180.190.91.43] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]
[Fri Feb 05 18:43:41 2016]	[client: 180.190.91.43] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 18:43:42 2016]	[client: 180.190.91.43] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 18:51:08 2016]	[client: 112.198.98.218] [file: core.class.php] - [Device ID: 27717a36d1932e22, Platform: android, PUSH ID: APA91bGCxt-AKh5qp1N_v6po07ZoKIBhQWw7sg2Z0K7GXgmed36ksUeXVSpO_V_cBXXyQHyBCoQB3IytMWw26zEHYS0qTu5eH5DJrlo5EXZzfRxtVAT4c4Ra_uj20QmeGbwGMu7yv95M]	 Status: [Existing]
[Fri Feb 05 18:51:09 2016]	[client: 112.198.98.218] [file: core.class.php] - [Device ID: 27717a36d1932e22, Platform: android, PUSH ID: APA91bGCxt-AKh5qp1N_v6po07ZoKIBhQWw7sg2Z0K7GXgmed36ksUeXVSpO_V_cBXXyQHyBCoQB3IytMWw26zEHYS0qTu5eH5DJrlo5EXZzfRxtVAT4c4Ra_uj20QmeGbwGMu7yv95M]	 Status: [Existing]
[Fri Feb 05 18:51:27 2016]	[client: 180.190.91.43] [file: core.class.php] - [Device ID: 9ba6ee0bbb882180, Platform: android, PUSH ID: APA91bEuzaU8z-o_PZa75tHSOHLlYjtFCYMBE7948lUUCdH0OvzEnjfAxfozbAoe8yWHZttu0ewB2lyRuqOcCvuiMy9KMS-pBw9zTlczUCFwEq-EjX27ntX3zPwnTtyiD9hzkYfFd8rs]	 Status: [Existing]
[Fri Feb 05 18:51:28 2016]	[client: 180.190.91.43] [file: core.class.php] - [Device ID: 9ba6ee0bbb882180, Platform: android, PUSH ID: APA91bEuzaU8z-o_PZa75tHSOHLlYjtFCYMBE7948lUUCdH0OvzEnjfAxfozbAoe8yWHZttu0ewB2lyRuqOcCvuiMy9KMS-pBw9zTlczUCFwEq-EjX27ntX3zPwnTtyiD9hzkYfFd8rs]	 Status: [Existing]
[Fri Feb 05 18:52:00 2016]	[client: 180.190.91.43] [file: core.class.php] - [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]	 Status: [Existing]
[Fri Feb 05 18:52:00 2016]	[client: 180.190.91.43] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 27734b4687aaeca7, Platform: android, PUSH ID: APA91bHZ_woS-4PQ2esWtMTd_50I_6nYVTi39ecMEoL7Haw1xGp_BHQxAePlXqOWzYbv6zT7rsa3W2Xab_2W74RdTztYAmz-JK7Zil1FZvUeGH36v9mkOvqdDz-CqH4fe28IN3zyYHKe]
[Fri Feb 05 18:53:28 2016]	[client: 112.198.98.218] [file: core.class.php] - [Device ID: 2cad4ff7653f9e1d, Platform: android, PUSH ID: APA91bHCVs-5ZMusw8F4XizdIsLkXA2_9OvaBg5ICXcajadZf6ZdDrboFwv_l1ynJOgnPkPp0pm-cCSyB_6M1IwHBzs9X95r4GIDG0iCgglX0SC_tD1w67FbHUQTVSx3t_woBy5hWEUH]	 Status: [Success]
[Fri Feb 05 18:53:29 2016]	[client: 112.198.98.218] [file: core.class.php] - [Device ID: 2cad4ff7653f9e1d, Platform: android, PUSH ID: APA91bHCVs-5ZMusw8F4XizdIsLkXA2_9OvaBg5ICXcajadZf6ZdDrboFwv_l1ynJOgnPkPp0pm-cCSyB_6M1IwHBzs9X95r4GIDG0iCgglX0SC_tD1w67FbHUQTVSx3t_woBy5hWEUH]	 Status: [Existing]
[Fri Feb 05 18:58:44 2016]	[client: 112.198.82.254] [file: core.class.php] - [Device ID: d4ba8d643492fd49, Platform: android, PUSH ID: APA91bF2dwGyQi7Ai_JtB8LUV6IzCktdj3EP7HacHQz0iOdS8arDs11JX44xL28HjhgejTGZi0fhh6Ack-5gqsCrsrIBZftD1d8m4Wko8j4ylS3tfdOU07sp-mtTBUKJ5wMV0QLXFngJ]	 Status: [Success]
